index,   freq_ppm,   decay_hz, amplitude
   1,     8.9532,     14.993,    3.537258e-01
   2,     8.9320,     14.994,    3.972692e-01
   3,     8.9022,     14.995,    4.343162e-01
   4,     8.8618,     15.000,    4.138925e-01
   5,     8.8301,     14.995,    4.129817e-01
   6,     8.8013,     14.994,    3.793039e-01
   7,     8.7736,     14.995,    3.933332e-01
   8,     8.7396,     14.730,    3.002964e-01
   9,     8.7196,     14.723,    3.064435e-01
  10,     8.6939,     14.750,    2.789032e-01
  11,     8.6698,     14.752,    2.983002e-01
  12,     8.6320,     14.801,    3.036581e-01
  13,     8.6048,     14.753,    3.091332e-01
  14,     8.5643,     14.815,    4.383146e-01
  15,     8.5255,     14.999,    8.180633e-01
  16,     8.4467,      0.484,    1.958757e+00
  17,     8.4455,      1.617,    5.149946e+00
  18,     8.4439,      9.519,    4.090892e+00
  19,     8.4272,     15.000,    8.946998e-01
  20,     8.4117,     14.998,    8.033060e-01
  21,     8.3958,     14.998,    8.356662e-01
  22,     8.3901,     14.998,    3.299213e-01
  23,     8.3696,     15.000,    3.277940e-01
  24,     8.3487,     15.000,    2.978227e-01
  25,     8.3212,     14.998,    4.537685e-01
  26,     8.2938,     14.998,    3.152377e-01
  27,     8.2732,     14.998,    3.109352e-01
  28,     8.2469,     14.998,    3.038116e-01
  29,     8.2274,     14.991,    3.096566e-01
  30,     8.1992,     14.996,    7.529786e-01
  31,     8.1668,     14.991,    3.314546e-01
  32,     8.1429,     14.991,    3.390768e-01
  33,     8.1220,     14.989,    2.903291e-01
  34,     8.0936,     14.991,    3.476771e-01
  35,     8.0653,     15.000,    3.380442e-01
  36,     8.0337,     14.969,    3.698474e-01
  37,     7.9978,     14.976,    3.932615e-01
  38,     7.9580,     14.973,    3.990006e-01
  39,     7.9287,     14.963,    3.937615e-01
  40,     7.9167,     14.968,    4.511078e-01
  41,     7.8856,     14.962,    3.506937e-01
  42,     7.8631,     14.966,    3.630237e-01
  43,     7.8341,     14.955,    3.378852e-01
  44,     7.8177,     14.959,    3.502896e-01
  45,     7.7946,     14.964,    3.463570e-01
  46,     7.7530,     14.970,    3.919029e-01
  47,     7.7248,     14.962,    3.503394e-01
  48,     7.6928,     15.000,    3.551005e-01
  49,     7.6550,     14.962,    3.713900e-01
  50,     7.6133,     14.964,    3.364391e-01
  51,     7.5411,     14.963,    3.284848e-01
  52,     7.4852,     14.959,    3.271817e-01
  53,     7.4627,     14.957,    3.096185e-01
  54,     7.4319,     14.956,    3.157803e-01
  55,     7.4077,     14.953,    3.308321e-01
  56,     7.3811,     14.966,    3.667924e-01
  57,     7.3272,     14.998,    3.439714e-01
  58,     7.2466,     14.999,    3.534171e-01
  59,     7.1654,     14.999,    3.296616e-01
  60,     7.0792,     14.999,    4.175128e-01
  61,     7.0240,     14.999,    4.084642e-01
  62,     6.8598,     14.999,    4.309105e-01
  63,     6.7369,     15.000,    3.052474e-01
  64,     6.7035,     14.999,    3.616082e-01
  65,     6.6447,     14.999,    3.380627e-01
  66,     6.5825,     15.000,    3.423544e-01
  67,     6.5446,     14.998,    3.079832e-01
  68,     6.4881,     14.998,    3.213125e-01
  69,     6.4182,     14.999,    3.233972e-01
  70,     6.3650,     14.965,    3.706425e-01
  71,     6.3173,     14.955,    2.983457e-01
  72,     6.2896,     14.965,    3.423333e-01
  73,     6.2076,     14.956,    3.024012e-01
  74,     6.1769,     14.951,    3.152497e-01
  75,     6.1530,     14.945,    3.014037e-01
  76,     6.1351,     14.900,    3.103777e-01
  77,     6.1141,     15.000,    3.055822e-01
  78,     6.1010,     14.998,    2.947552e-01
  79,     6.0722,     14.997,    2.661000e-01
  80,     6.0416,     14.998,    2.836091e-01
  81,     5.9876,     14.998,    3.568806e-01
  82,     5.9629,     14.997,    2.708451e-01
  83,     5.9518,     14.932,    2.841043e-01
  84,     5.9334,     12.911,    3.770037e-01
  85,     5.9255,     14.709,    3.846586e-01
  86,     5.9098,     14.930,    2.863738e-01
  87,     5.8860,     15.000,    2.906566e-01
  88,     5.8677,     14.919,    2.375883e-01
  89,     5.8417,     14.932,    2.831126e-01
  90,     5.8209,     14.966,    3.606153e-01
  91,     5.7712,     14.976,    4.123177e-01
  92,     5.7323,     14.967,    3.723690e-01
  93,     5.6408,     14.972,    3.675593e-01
  94,     5.5470,     14.966,    3.621860e-01
  95,     5.5084,     14.968,    3.573655e-01
  96,     5.4585,     14.958,    3.453893e-01
  97,     5.4418,     14.991,    3.566898e-01
  98,     5.4277,     15.000,    3.454283e-01
  99,     5.4033,     14.993,    3.441152e-01
 100,     5.3767,     14.993,    3.616189e-01
 101,     5.3508,     14.991,    4.713192e-01
 102,     5.3401,     14.991,    4.752136e-01
 103,     5.3251,     14.984,    3.060899e-01
 104,     5.3166,     14.956,    3.444836e-01
 105,     5.2974,     14.942,    2.712779e-01
 106,     5.2825,     14.952,    3.445915e-01
 107,     5.2541,     15.000,    3.920994e-01
 108,     5.2235,     14.969,    4.060477e-01
 109,     5.1970,      6.319,    3.127826e-01
 110,     5.1922,     14.927,    7.934377e-01
 111,     4.9743,     15.000,    8.434982e+00
 112,     4.9469,     15.000,    8.608357e+00
 113,     4.9189,     15.000,    8.734110e+00
 114,     4.8914,     15.000,    8.836209e+00
 115,     4.8640,     15.000,    8.902051e+00
 116,     4.8367,     15.000,    8.641974e+00
 117,     4.8083,     15.000,    8.604226e+00
 118,     4.7647,     15.000,    8.880764e+00
 119,     4.7269,     15.000,    8.788569e+00
 120,     4.6963,     15.000,    9.133593e+00
 121,     4.6665,     15.000,    9.211304e+00
 122,     4.6371,     15.000,    8.916709e+00
 123,     4.5972,     15.000,    8.992846e+00
 124,     4.5684,     15.000,    9.160641e+00
 125,     4.5471,     14.962,    3.660900e-01
 126,     4.5246,     14.965,    3.701159e-01
 127,     4.5019,     14.954,    3.371789e-01
 128,     4.4808,     14.954,    4.155356e-01
 129,     4.4724,     14.931,    4.087008e-01
 130,     4.4586,     14.947,    3.242494e-01
 131,     4.4368,     14.958,    3.305617e-01
 132,     4.4218,     14.998,    3.247088e-01
 133,     4.4038,     14.998,    3.321608e-01
 134,     4.3783,     14.998,    2.954988e-01
 135,     4.3581,     14.998,    3.564583e-01
 136,     4.3312,     14.998,    3.961092e-01
 137,     4.3130,     14.999,    5.848671e-01
 138,     4.3053,     14.999,    5.072326e-01
 139,     4.2723,     14.907,    2.366517e-01
 140,     4.2631,     14.326,    1.968393e-01
 141,     4.2428,     11.104,    7.655461e-01
 142,     4.2330,     14.059,    1.913669e+00
 143,     4.2231,     15.000,    1.292982e+00
 144,     4.2140,     14.856,    2.886656e-01
 145,     4.2031,     14.878,    2.972641e-01
 146,     4.1785,     14.955,    3.805719e-01
 147,     4.1605,     14.937,    2.553045e-01
 148,     4.1251,     14.966,    4.754686e-01
 149,     4.1150,     14.972,    2.405236e+00
 150,     4.1096,     12.789,    4.577697e-01
 151,     4.1038,     14.624,    1.544363e+00
 152,     4.0941,     11.150,    5.262696e-01
 153,     4.0873,     14.561,    3.027035e-01
 154,     4.0795,     13.406,    1.473223e-01
 155,     4.0628,     14.869,    2.445670e-01
 156,     4.0480,     14.874,    3.349925e-01
 157,     4.0389,     14.826,    2.513999e-01
 158,     4.0261,     14.568,    1.470736e-01
 159,     4.0163,     13.693,    1.783887e-01
 160,     4.0076,     14.267,    3.879493e-01
 161,     3.9964,     14.967,    6.121312e-01
 162,     3.9829,     14.978,    8.650538e-01
 163,     3.9755,     14.976,    7.595178e-01
 164,     3.9607,     15.000,    6.921368e-01
 165,     3.9539,     14.936,    6.683004e-01
 166,     3.9398,     14.946,    1.038589e+00
 167,     3.9343,     14.545,    1.132698e+00
 168,     3.9276,     14.877,    9.194213e-01
 169,     3.9209,     14.603,    1.825769e+00
 170,     3.9158,     11.926,    1.124113e+00
 171,     3.9115,     12.517,    5.762010e-01
 172,     3.9037,     15.000,    1.579419e+00
 173,     3.8986,     14.958,    1.112037e+00
 174,     3.8925,     15.000,    6.646902e-01
 175,     3.8714,     12.706,    1.020905e+00
 176,     3.8679,      9.778,    3.623576e-01
 177,     3.8639,     13.697,    1.311462e+00
 178,     3.8575,     14.051,    1.374227e+00
 179,     3.8533,     10.285,    2.811710e-01
 180,     3.8503,     14.956,    1.637797e+00
 181,     3.8426,     14.967,    9.374605e-01
 182,     3.8321,     14.966,    5.437118e-01
 183,     3.8195,     15.000,    3.749304e-01
 184,     3.8051,     14.945,    5.131315e-01
 185,     3.7919,     12.584,    3.961225e-01
 186,     3.7785,     11.191,    3.826462e-01
 187,     3.7752,      3.814,    1.401085e-01
 188,     3.7682,     12.829,    7.452310e-01
 189,     3.7599,     13.527,    4.864389e-01
 190,     3.7534,      8.848,    5.355949e-01
 191,     3.7423,     14.788,    2.617207e-01
 192,     3.7322,     13.650,    1.482697e-01
 193,     3.7202,     14.245,    2.970632e-01
 194,     3.7092,     10.373,    1.943739e-01
 195,     3.7032,     14.124,    2.802259e-01
 196,     3.6930,     13.997,    1.446368e-01
 197,     3.6799,     11.270,    1.191156e-01
 198,     3.6717,     14.639,    6.539378e-01
 199,     3.6572,      6.327,    8.567201e-01
 200,     3.6535,     14.645,    3.458838e-01
 201,     3.6439,      9.935,    2.754775e-01
 202,     3.6345,     14.750,    8.120463e-01
 203,     3.6305,     14.374,    2.802286e-01
 204,     3.6186,     14.477,    2.733708e-01
 205,     3.6119,     12.466,    2.956393e-01
 206,     3.6066,     11.797,    1.303545e-01
 207,     3.5987,     12.991,    2.910030e-01
 208,     3.5832,     11.434,    1.077834e+00
 209,     3.5677,     12.941,    2.571867e+00
 210,     3.5420,     14.342,    3.094805e+00
 211,     3.5268,     14.951,    1.809638e+00
 212,     3.5099,     14.897,    3.841894e-01
 213,     3.4982,     14.379,    2.253213e-01
 214,     3.4862,     14.855,    3.600554e-01
 215,     3.4744,     10.899,    3.423426e-01
 216,     3.4623,      6.784,    1.620962e-01
 217,     3.4569,     10.925,    1.452793e-01
 218,     3.4457,     14.603,    3.154685e-01
 219,     3.4347,     15.000,    2.774004e-01
 220,     3.4257,     14.490,    3.569668e-01
 221,     3.4131,     14.795,    2.996957e-01
 222,     3.4021,     15.000,    2.560306e-01
 223,     3.3839,     14.918,    2.189192e-01
 224,     3.3675,     14.898,    2.306157e-01
 225,     3.3444,     14.694,    5.251410e-01
 226,     3.3286,     14.673,    2.333087e-01
 227,     3.3201,     14.916,    3.387331e-01
 228,     3.3083,     14.801,    2.291849e-01
 229,     3.2900,     14.926,    2.478395e-01
 230,     3.2692,     14.907,    2.443585e-01
 231,     3.2447,     14.964,    5.485775e-01
 232,     3.2342,     15.000,    7.315766e-01
 233,     3.2134,     14.994,    4.511332e-01
 234,     3.1416,     15.000,    3.381296e-01
 235,     3.0381,     14.993,    3.481652e-01
 236,     2.9382,     14.992,    3.997364e-01
 237,     2.9069,     14.984,    4.541155e-01
 238,     2.8849,     14.983,    3.263139e-01
 239,     2.8715,     14.976,    2.731594e-01
 240,     2.8527,     14.970,    2.396781e-01
 241,     2.8422,     14.977,    2.802696e-01
 242,     2.8221,     14.974,    2.604463e-01
 243,     2.8020,     15.000,    2.868321e-01
 244,     2.7902,     14.970,    2.254677e-01
 245,     2.7648,      9.993,    7.000028e-01
 246,     2.7428,     15.000,    3.025276e-01
 247,     2.7184,      8.380,    5.902955e-01
 248,     2.6967,     14.988,    2.988450e-01
 249,     2.6740,     14.989,    3.351328e-01
 250,     2.6509,     14.987,    2.799477e-01
 251,     2.6337,     14.986,    2.656829e-01
 252,     2.5914,     14.971,    3.729403e-01
 253,     2.5433,     14.968,    3.722683e-01
 254,     2.5153,     14.968,    4.111544e-01
 255,     2.4727,     14.979,    6.684848e-01
 256,     2.4593,     14.975,    6.413316e-01
 257,     2.4357,     14.955,    3.451523e-01
 258,     2.3927,     14.984,    4.854737e-01
 259,     2.3707,     14.993,    4.074007e-01
 260,     2.3377,     14.993,    3.368925e-01
 261,     2.2333,     14.994,    3.665188e-01
 262,     2.1674,     14.994,    4.013151e-01
 263,     2.1495,     14.991,    3.567120e-01
 264,     2.1320,     14.989,    3.260278e-01
 265,     2.1096,     14.991,    3.730132e-01
 266,     2.0955,     14.402,    2.437972e-01
 267,     2.0849,     14.203,    2.345042e-01
 268,     2.0731,     14.718,    4.630669e-01
 269,     2.0611,      4.791,    4.060801e-01
 270,     2.0550,      5.978,    1.404498e+00
 271,     2.0424,     11.161,    2.296002e+00
 272,     1.9057,     14.998,    9.050635e-01
 273,     1.7586,     14.999,    9.085954e-01
 274,     1.6339,     14.999,    8.548378e-01
 275,     1.6171,     14.997,    6.287033e-01
 276,     1.6009,     14.998,    7.840705e-01
 277,     1.5795,     14.574,    2.016861e-01
 278,     1.5656,     13.570,    2.866686e-01
 279,     1.5568,     13.358,    1.538119e-01
 280,     1.5468,     14.674,    2.184594e-01
 281,     1.5339,     14.734,    2.333997e-01
 282,     1.5246,     14.992,    2.564971e-01
 283,     1.5143,     14.984,    2.276747e-01
 284,     1.5044,     14.983,    2.164738e-01
 285,     1.4942,     14.992,    2.432506e-01
 286,     1.4757,     14.992,    2.574130e-01
 287,     1.4651,     14.990,    2.686828e-01
 288,     1.4429,     14.947,    2.869226e-01
 289,     1.3991,     14.957,    3.183281e-01
 290,     1.3451,     14.930,    2.716772e-01
 291,     1.3224,     14.916,    3.322562e-01
 292,     1.3098,     14.947,    3.317474e-01
 293,     1.2908,     14.971,    4.352983e-01
 294,     1.2758,     14.984,    6.576769e-01
 295,     1.2400,     14.992,    3.344348e-01
 296,     1.2004,     14.994,    4.106207e-01
 297,     1.1715,     14.994,    3.808975e-01
