index,   freq_ppm,   decay_hz, amplitude
   1,     8.9889,     14.581,    1.205105e-01
   2,     8.9729,     13.984,    7.605197e-02
   3,     8.9659,     13.890,    7.280147e-02
   4,     8.9593,     13.647,    5.163885e-02
   5,     8.9500,     14.191,    8.415998e-02
   6,     8.9292,     15.000,    1.047944e-01
   7,     8.9179,     15.000,    6.354609e-02
   8,     8.9110,     10.609,    6.971338e-02
   9,     8.9006,     13.345,    8.857216e-02
  10,     8.8931,     15.000,    6.745725e-02
  11,     8.8837,     15.000,    9.546198e-02
  12,     8.8646,     15.000,    1.235525e-01
  13,     8.8540,     15.000,    9.577184e-02
  14,     8.8417,     15.000,    1.171447e-01
  15,     8.8327,     15.000,    6.619459e-02
  16,     8.8222,     15.000,    1.374179e-01
  17,     8.8105,     15.000,    1.646757e-01
  18,     8.8022,      9.138,    5.283058e-02
  19,     8.7934,      9.687,    5.801451e-02
  20,     8.7880,     12.657,    6.750096e-02
  21,     8.7831,     10.584,    4.675029e-02
  22,     8.7780,     15.000,    8.558874e-02
  23,     8.7683,     15.000,    1.006378e-01
  24,     8.7565,     15.000,    1.006716e-01
  25,     8.7462,     15.000,    7.596458e-02
  26,     8.7373,     15.000,    8.143628e-02
  27,     8.7222,     15.000,    1.115869e-01
  28,     8.7083,     10.959,    6.573984e-02
  29,     8.6956,     15.000,    8.697573e-02
  30,     8.6873,     15.000,    9.582395e-02
  31,     8.6802,      8.870,    3.807069e-02
  32,     8.6743,     15.000,    1.013826e-01
  33,     8.6636,     10.303,    8.481274e-02
  34,     8.6530,     15.000,    6.251419e-02
  35,     8.6437,     15.000,    6.441091e-02
  36,     8.6339,     12.262,    5.770376e-02
  37,     8.6203,     15.000,    7.404111e-02
  38,     8.6042,     15.000,    8.998019e-02
  39,     8.5964,     15.000,    1.287746e-01
  40,     8.5895,      5.016,    3.257330e-02
  41,     8.5809,     10.621,    8.176993e-02
  42,     8.5746,     15.000,    1.141497e-01
  43,     8.5693,      4.536,    1.566874e-02
  44,     8.5640,      8.982,    2.755231e-01
  45,     8.5573,     12.804,    1.938692e-02
  46,     8.5531,     14.000,    8.980055e-02
  47,     8.5438,      2.382,    1.186819e-02
  48,     8.5358,     15.000,    1.782502e-01
  49,     8.5276,     15.000,    1.438479e-01
  50,     8.5191,     15.000,    1.095793e-01
  51,     8.5130,     15.000,    7.383271e-02
  52,     8.5053,     15.000,    1.370248e-01
  53,     8.5004,     15.000,    1.464327e-01
  54,     8.4959,     15.000,    2.308113e-01
  55,     8.4898,     15.000,    1.277007e-01
  56,     8.4841,     13.082,    1.468432e-01
  57,     8.4778,      9.894,    9.915394e-02
  58,     8.4470,      2.832,    4.873779e+00
  59,     8.4457,      1.574,    7.376592e+00
  60,     8.4443,      3.492,    7.575763e+00
  61,     8.4426,     10.703,    5.685716e+00
  62,     8.4337,     15.000,    1.155056e+00
  63,     8.4222,     15.000,    9.569703e-01
  64,     8.4086,     15.000,    9.657102e-01
  65,     8.4002,     15.000,    2.134522e-01
  66,     8.3925,     15.000,    1.168541e-01
  67,     8.3829,     15.000,    1.542509e-01
  68,     8.3641,     15.000,    1.132806e-01
  69,     8.3463,     15.000,    7.814441e-02
  70,     8.3395,     15.000,    5.795499e-02
  71,     8.3286,     15.000,    1.082019e-01
  72,     8.3207,      8.606,    2.634131e-01
  73,     8.3137,     14.581,    9.601594e-02
  74,     8.2997,     14.440,    7.092867e-02
  75,     8.2880,     15.000,    1.426951e-01
  76,     8.2753,     15.000,    1.267684e-01
  77,     8.2572,     15.000,    1.220967e-01
  78,     8.2463,     15.000,    1.220136e-01
  79,     8.2229,     15.000,    1.146402e-01
  80,     8.2158,     12.156,    7.478756e-02
  81,     8.2028,     10.326,    5.945299e-02
  82,     8.1999,      1.964,    1.029940e-02
  83,     8.1935,      5.647,    3.007939e-02
  84,     8.1869,      7.964,    6.435696e-02
  85,     8.1748,     15.000,    1.477189e-01
  86,     8.1620,     15.000,    1.238147e-01
