index,   freq_ppm,   decay_hz, amplitude
   1,     8.9861,     11.880,    9.236692e-02
   2,     8.9738,     15.000,    1.183244e-01
   3,     8.9617,     15.000,    8.119160e-02
   4,     8.9557,      2.285,    1.520622e-02
   5,     8.9450,     15.000,    1.277690e-01
   6,     8.9312,     15.000,    1.094907e-01
   7,     8.9262,      3.862,    2.128642e-02
   8,     8.9204,      6.598,    3.291018e-02
   9,     8.9141,     15.000,    1.001820e-01
  10,     8.9009,     15.000,    1.251053e-01
  11,     8.8893,     15.000,    7.553386e-02
  12,     8.8802,     15.000,    9.957404e-02
  13,     8.8688,     15.000,    8.765607e-02
  14,     8.8520,     15.000,    9.312057e-02
  15,     8.8396,      8.197,    6.680211e-02
  16,     8.8335,     10.873,    6.150037e-02
  17,     8.8193,     15.000,    1.441491e-01
  18,     8.8071,     11.668,    4.186038e-02
  19,     8.8005,     12.406,    4.477483e-02
  20,     8.7913,     12.572,    7.549232e-02
  21,     8.7703,     15.000,    1.317093e-01
  22,     8.7544,     15.000,    9.041695e-02
  23,     8.7374,     15.000,    9.374053e-02
  24,     8.7252,     15.000,    1.235979e-01
  25,     8.7077,     15.000,    1.068838e-01
  26,     8.6936,     15.000,    1.143145e-01
  27,     8.6816,     15.000,    1.190751e-01
  28,     8.6653,     15.000,    1.063577e-01
  29,     8.6504,     15.000,    1.285234e-01
  30,     8.6421,     15.000,    9.747554e-02
  31,     8.6322,     15.000,    8.646599e-02
  32,     8.6171,     15.000,    7.754544e-02
  33,     8.6104,     11.304,    3.308470e-02
  34,     8.6024,     15.000,    7.972016e-02
  35,     8.5954,     12.407,    1.790106e-02
  36,     8.5879,      5.169,    3.366318e-02
  37,     8.5840,     10.920,    4.238869e-02
  38,     8.5641,     15.000,    5.220079e-01
  39,     8.5510,     15.000,    2.850395e-01
  40,     8.5367,     15.000,    2.684628e-01
  41,     8.5205,     15.000,    2.708566e-01
  42,     8.5072,     15.000,    2.040329e-01
  43,     8.4905,     15.000,    1.780666e-01
  44,     8.4832,     15.000,    1.758557e-01
  45,     8.4740,     15.000,    1.382113e-01
  46,     8.4465,      3.013,    6.207156e+00
  47,     8.4453,      2.367,    7.353703e+00
  48,     8.4441,      5.686,    5.809050e+00
  49,     8.4394,     15.000,    1.843866e+00
  50,     8.4266,     15.000,    9.460589e-01
  51,     8.4048,     15.000,    8.143464e-01
  52,     8.3788,     15.000,    7.179714e-01
  53,     8.3452,     13.991,    5.996111e-02
  54,     8.3396,      8.796,    5.578675e-02
  55,     8.3344,     15.000,    1.234155e-01
  56,     8.3207,      9.725,    2.814619e-01
  57,     8.3114,     15.000,    1.043685e-01
  58,     8.2964,     15.000,    1.375133e-01
  59,     8.2881,      7.121,    4.418797e-02
  60,     8.2788,     13.336,    1.114741e-01
  61,     8.2714,     15.000,    8.465242e-02
  62,     8.2606,     15.000,    1.161521e-01
  63,     8.2535,     14.942,    6.966225e-02
  64,     8.2392,     15.000,    1.156269e-01
  65,     8.2222,     15.000,    9.983675e-02
  66,     8.2151,     15.000,    8.492028e-02
  67,     8.2039,     15.000,    7.522894e-02
  68,     8.1932,     15.000,    7.015815e-02
  69,     8.1781,     14.708,    7.432664e-02
  70,     8.1642,     12.292,    5.327875e-02
  71,     8.1544,     11.715,    6.859402e-02
  72,     8.1463,     13.566,    7.751805e-02
  73,     8.1355,     14.838,    6.313691e-02
  74,     8.1139,     15.000,    6.524132e-02
  75,     8.1076,      5.795,    3.253850e-02
  76,     8.1000,     15.000,    8.209562e-02
  77,     8.0842,     15.000,    7.518118e-02
  78,     8.0728,     15.000,    6.323127e-02
  79,     8.0607,     15.000,    7.897742e-02
  80,     8.0419,      8.963,    5.126306e-02
  81,     8.0335,      1.930,    9.887061e-03
  82,     8.0266,     15.000,    7.491478e-02
  83,     8.0131,      9.921,    1.131507e-01
  84,     7.9992,     10.496,    5.895251e-02
  85,     7.9939,      9.207,    4.535583e-02
  86,     7.9808,     14.277,    2.677781e-01
  87,     7.9691,     10.862,    6.799845e-02
  88,     7.9567,     11.599,    6.235217e-02
  89,     7.9509,      9.100,    3.830311e-02
  90,     7.9403,     15.000,    8.185178e-02
