index,   freq_ppm,   decay_hz, amplitude
   1,     8.9631,      6.102,    2.767584e-02
   2,     8.9548,      8.171,    1.123897e-02
   3,     8.9506,      5.700,    2.653827e-02
   4,     8.9429,     11.248,    5.630197e-02
   5,     8.9334,     14.919,    6.406147e-02
   6,     8.9234,     14.486,    5.033690e-02
   7,     8.9038,     15.000,    6.646723e-02
   8,     8.8943,     15.000,    5.046955e-02
   9,     8.8835,     11.395,    5.949701e-02
  10,     8.8773,     12.207,    3.901250e-02
  11,     8.8672,     10.834,    5.030788e-02
  12,     8.8584,     10.984,    2.132627e-02
  13,     8.8494,     13.777,    6.018757e-02
  14,     8.8430,     10.879,    2.134730e-02
  15,     8.8351,     15.000,    1.017476e-01
  16,     8.8166,     15.000,    6.440999e-02
  17,     8.8038,     15.000,    6.745476e-02
  18,     8.7958,     15.000,    7.247475e-02
  19,     8.7868,     10.918,    3.764162e-02
  20,     8.7770,     12.917,    5.485478e-02
  21,     8.7659,     14.693,    8.261532e-02
  22,     8.7541,     13.385,    3.514280e-02
  23,     8.7444,     13.034,    6.400478e-02
  24,     8.7323,     13.134,    6.396223e-02
  25,     8.7248,     13.957,    7.597791e-02
  26,     8.7189,      7.961,    2.310819e-02
  27,     8.7165,      7.395,    2.099247e-02
  28,     8.7071,     11.384,    3.759723e-02
  29,     8.6994,     13.475,    6.876364e-02
  30,     8.6835,     15.000,    8.230251e-02
  31,     8.6680,     15.000,    1.105589e-01
  32,     8.6495,     15.000,    8.049827e-02
  33,     8.6366,     14.840,    6.558257e-02
  34,     8.6213,     15.000,    6.937944e-02
  35,     8.6089,     14.926,    1.050288e-01
  36,     8.6021,      7.439,    3.524703e-02
  37,     8.5969,     13.987,    6.149223e-02
  38,     8.5903,     12.291,    2.212050e-02
  39,     8.5789,     10.820,    1.927275e-02
  40,     8.5730,     13.357,    4.532541e-02
  41,     8.5644,     13.150,    1.216785e-01
  42,     8.5574,     15.000,    6.519993e-02
  43,     8.5437,     15.000,    4.768583e-02
  44,     8.5350,     15.000,    7.817516e-02
  45,     8.5190,     14.770,    6.481021e-02
  46,     8.5039,     15.000,    5.442016e-02
