index,   freq_ppm,   decay_hz, amplitude
   1,     8.9883,     15.000,    5.722656e-02
   2,     8.9777,     15.000,    4.496847e-02
   3,     8.9594,     14.211,    4.441180e-02
   4,     8.9491,     10.617,    3.897808e-02
   5,     8.9404,     15.000,    6.637841e-02
   6,     8.9219,     15.000,    8.341556e-02
   7,     8.9112,     15.000,    1.063566e-01
   8,     8.9010,     15.000,    9.019641e-02
   9,     8.8832,     15.000,    1.090217e-01
  10,     8.8729,     15.000,    7.586087e-02
  11,     8.8635,     15.000,    8.003603e-02
  12,     8.8527,     15.000,    9.041625e-02
  13,     8.8446,     15.000,    1.078519e-01
  14,     8.8350,     15.000,    8.250555e-02
  15,     8.8290,     10.574,    7.731308e-02
  16,     8.8194,     13.865,    8.599200e-02
  17,     8.8127,      9.760,    4.977581e-02
  18,     8.8047,     11.025,    4.353147e-02
  19,     8.8011,      6.512,    3.356363e-02
  20,     8.7987,      1.662,    8.291508e-03
  21,     8.7892,      9.783,    5.036859e-02
  22,     8.7774,     15.000,    6.653221e-02
  23,     8.7716,     15.000,    1.075819e-01
  24,     8.7612,     15.000,    9.228207e-02
  25,     8.7440,     15.000,    1.054505e-01
  26,     8.7350,     15.000,    8.540312e-02
  27,     8.7275,      8.598,    5.047092e-02
  28,     8.7205,     11.373,    5.993655e-02
  29,     8.7174,      1.573,    1.078542e-02
  30,     8.7103,      7.774,    4.201675e-02
  31,     8.7059,      8.431,    5.532937e-02
  32,     8.6873,     15.000,    1.183089e-01
  33,     8.6717,     15.000,    1.095479e-01
  34,     8.6587,     15.000,    1.226634e-01
  35,     8.6461,     15.000,    1.389153e-01
  36,     8.6266,     15.000,    1.387027e-01
  37,     8.6106,     15.000,    1.139738e-01
  38,     8.6054,      8.277,    3.276278e-02
  39,     8.5973,      6.748,    4.116157e-02
  40,     8.5909,     12.657,    4.790867e-02
  41,     8.5849,     15.000,    5.468763e-02
  42,     8.5779,     15.000,    9.187158e-02
  43,     8.5641,     15.000,    1.751105e-01
  44,     8.5537,     15.000,    7.419094e-02
  45,     8.5447,     15.000,    1.012192e-01
  46,     8.5338,     15.000,    5.733757e-02
  47,     8.5258,     15.000,    6.394497e-02
  48,     8.5155,     15.000,    9.146390e-02
  49,     8.4956,     15.000,    4.659601e-02
  50,     8.4847,     15.000,    6.757022e-02
  51,     8.4676,      8.753,    3.592370e-02
  52,     8.4473,      3.127,    1.601986e+00
  53,     8.4460,      1.332,    2.546854e+00
  54,     8.4446,      1.811,    2.321672e+00
  55,     8.4431,      5.939,    1.941319e+00
  56,     8.4395,     15.000,    6.841451e-01
  57,     8.4307,     15.000,    3.312437e-01
  58,     8.4159,     15.000,    3.041222e-01
  59,     8.4058,     15.000,    1.077567e-01
  60,     8.3979,     15.000,    6.049166e-02
  61,     8.3863,     14.775,    6.358696e-02
  62,     8.3685,     10.400,    4.214356e-01
  63,     8.3647,     14.740,    8.235865e-02
  64,     8.3541,     13.533,    7.282994e-02
  65,     8.3434,     15.000,    5.212452e-02
  66,     8.3291,     15.000,    4.604085e-02
  67,     8.3207,      9.919,    1.181475e-01
  68,     8.3052,     14.984,    9.507458e-02
  69,     8.2920,     15.000,    7.571819e-02
  70,     8.2811,      9.825,    3.083822e-02
  71,     8.2686,     11.280,    2.934663e-02
  72,     8.2632,     12.450,    2.925090e-01
  73,     8.2507,     14.909,    7.055235e-02
  74,     8.2313,     15.000,    7.791064e-02
  75,     8.2124,     15.000,    9.410037e-02
  76,     8.1958,     15.000,    8.033954e-02
