index,   freq_ppm,   decay_hz, amplitude
   1,     8.9760,     15.000,    6.498125e-02
   2,     8.9701,     15.000,    6.574447e-02
   3,     8.9603,     15.000,    3.098925e-02
   4,     8.9536,     15.000,    8.447232e-02
   5,     8.9446,     12.929,    8.014647e-02
   6,     8.9334,     11.887,    8.191191e-02
   7,     8.9275,      7.250,    3.539320e-02
   8,     8.9190,     15.000,    9.671422e-02
   9,     8.9064,     15.000,    1.179250e-01
  10,     8.8923,     15.000,    9.232045e-02
  11,     8.8782,     15.000,    7.083008e-02
  12,     8.8651,     15.000,    5.381898e-02
  13,     8.8573,     15.000,    6.991875e-02
  14,     8.8405,     15.000,    8.084530e-02
  15,     8.8290,     15.000,    1.006864e-01
  16,     8.8151,     15.000,    5.473552e-02
  17,     8.8069,     15.000,    4.857857e-02
  18,     8.7970,     15.000,    8.839195e-02
  19,     8.7886,     15.000,    8.220548e-02
  20,     8.7779,     15.000,    6.138046e-02
  21,     8.7661,     15.000,    5.270341e-02
  22,     8.7534,     15.000,    7.771654e-02
  23,     8.7437,     15.000,    8.375815e-02
  24,     8.7350,     15.000,    8.901327e-02
  25,     8.7218,     15.000,    9.595040e-02
  26,     8.7133,     15.000,    6.378912e-02
  27,     8.7008,     14.183,    7.080526e-02
  28,     8.6936,     11.955,    7.405949e-02
  29,     8.6768,     15.000,    4.936539e-02
  30,     8.6602,     15.000,    7.904407e-02
  31,     8.6494,     15.000,    5.891670e-02
  32,     8.6427,     15.000,    5.299770e-02
  33,     8.6323,     15.000,    7.988286e-02
  34,     8.6236,     12.051,    4.556558e-02
  35,     8.6183,     11.439,    6.619623e-02
  36,     8.6080,      6.963,    2.160657e-02
  37,     8.6027,      9.568,    5.702342e-02
  38,     8.5917,     13.060,    7.384519e-02
  39,     8.5834,     15.000,    4.307969e-02
  40,     8.5772,     15.000,    5.953268e-02
  41,     8.5640,     11.518,    1.729842e-01
  42,     8.5497,     15.000,    7.132028e-02
  43,     8.5316,     15.000,    7.439568e-02
  44,     8.5219,     15.000,    1.209424e-01
