index,   freq_ppm,   decay_hz, amplitude
   1,     8.9856,     12.428,    6.810226e-02
   2,     8.9757,     14.540,    8.632738e-02
   3,     8.9632,     15.000,    7.231631e-02
   4,     8.9489,     15.000,    1.007472e-01
   5,     8.9304,     15.000,    1.007869e-01
   6,     8.9171,      7.057,    2.760004e-02
   7,     8.9120,     10.494,    4.727960e-02
   8,     8.8981,     12.288,    5.615050e-02
   9,     8.8911,     14.512,    6.753027e-02
  10,     8.8727,     14.682,    9.501157e-02
  11,     8.8569,     13.887,    4.992138e-02
  12,     8.8408,     15.000,    7.471871e-02
  13,     8.8301,     15.000,    4.125235e-02
  14,     8.8145,     14.975,    9.566087e-02
  15,     8.8047,     14.339,    4.961808e-02
  16,     8.7966,     14.943,    6.305262e-02
  17,     8.7679,     15.000,    6.737369e-02
  18,     8.7573,     12.942,    6.528310e-02
  19,     8.7434,     14.840,    5.041427e-02
  20,     8.7321,     15.000,    5.817601e-02
  21,     8.7161,     15.000,    9.008767e-02
  22,     8.7003,     14.566,    6.338432e-02
  23,     8.6795,     15.000,    9.689378e-02
  24,     8.6723,      7.564,    3.872251e-02
  25,     8.6623,     10.866,    4.404789e-02
  26,     8.6569,      9.351,    4.637799e-02
  27,     8.6481,     11.422,    2.731016e-02
  28,     8.6376,      7.901,    4.959550e-02
  29,     8.6233,     15.000,    1.024009e-01
  30,     8.6045,     15.000,    9.539628e-02
  31,     8.5921,     15.000,    9.879876e-02
  32,     8.5807,     15.000,    8.145206e-02
  33,     8.5725,      6.688,    3.793672e-02
  34,     8.5637,     15.000,    2.202041e-01
  35,     8.5462,     15.000,    1.017361e-01
  36,     8.5360,     15.000,    7.620945e-02
  37,     8.5273,     15.000,    8.967806e-02
  38,     8.5096,     15.000,    8.660825e-02
  39,     8.4932,     15.000,    9.332927e-02
  40,     8.4855,     15.000,    8.230475e-02
  41,     8.4774,     14.560,    8.654486e-02
  42,     8.4673,     15.000,    8.015532e-02
  43,     8.4468,      2.252,    1.747066e+00
  44,     8.4455,      2.000,    2.872058e+00
  45,     8.4443,      5.729,    3.412925e+00
  46,     8.4384,     15.000,    6.468123e-01
  47,     8.4239,     15.000,    3.800454e-01
  48,     8.4098,     15.000,    3.231980e-01
  49,     8.3975,     15.000,    3.349054e-01
  50,     8.3900,     10.173,    5.565962e-02
  51,     8.3817,     13.990,    1.019355e-01
  52,     8.3751,      7.140,    3.432716e-02
  53,     8.3690,     14.551,    9.704894e-02
  54,     8.3586,      9.527,    4.511609e-02
  55,     8.3460,     15.000,    5.432019e-02
  56,     8.3358,     15.000,    2.458014e-01
  57,     8.3274,     15.000,    6.296980e-02
  58,     8.3201,     13.029,    1.267816e-01
  59,     8.3118,     12.393,    6.144600e-02
  60,     8.3046,      5.817,    4.274718e-02
  61,     8.2962,      9.516,    5.316953e-02
  62,     8.2881,     14.939,    6.943688e-02
  63,     8.2764,     15.000,    1.108991e-01
  64,     8.2638,      8.499,    6.580532e-02
  65,     8.2543,     15.000,    1.697618e-01
  66,     8.2346,     15.000,    7.984116e-02
  67,     8.2229,     15.000,    1.214753e-01
  68,     8.2007,      9.554,    3.331379e-01
  69,     8.1920,     15.000,    1.104553e-01
  70,     8.1829,      8.314,    2.720272e-01
  71,     8.1679,     15.000,    7.280751e-02
  72,     8.1554,     12.627,    6.185899e-02
  73,     8.1479,     15.000,    5.743854e-02
  74,     8.1393,     15.000,    9.273093e-02
  75,     8.1189,     15.000,    9.687173e-02
  76,     8.1024,     15.000,    9.149546e-02
  77,     8.0905,     15.000,    6.975209e-02
  78,     8.0710,     15.000,    6.537294e-02
  79,     8.0608,     13.746,    5.991711e-02
  80,     8.0500,     15.000,    9.036930e-02
  81,     8.0297,     15.000,    5.598893e-02
