index,   freq_ppm,   decay_hz, amplitude
   1,     8.9815,     15.000,    9.724192e-02
   2,     8.9702,     15.000,    9.746163e-02
   3,     8.9617,     15.000,    9.886392e-02
   4,     8.9505,     15.000,    1.055820e-01
   5,     8.9384,     15.000,    1.100948e-01
   6,     8.9268,     15.000,    1.054056e-01
   7,     8.9160,     12.328,    6.914105e-02
   8,     8.9055,     15.000,    9.882293e-02
   9,     8.8948,     15.000,    6.513473e-02
  10,     8.8858,     15.000,    1.321922e-01
  11,     8.8765,      7.386,    4.503484e-02
  12,     8.8689,     15.000,    1.356062e-01
  13,     8.8498,     15.000,    9.346779e-02
  14,     8.8391,     15.000,    1.037617e-01
  15,     8.8174,     15.000,    9.715896e-02
  16,     8.7978,     15.000,    1.115063e-01
  17,     8.7849,     15.000,    1.064875e-01
  18,     8.7740,     15.000,    1.021198e-01
  19,     8.7661,     15.000,    8.361662e-02
  20,     8.7558,     15.000,    8.281325e-02
  21,     8.7446,     15.000,    1.188443e-01
  22,     8.7346,     15.000,    9.977673e-02
  23,     8.7181,     15.000,    8.753274e-02
  24,     8.7065,     15.000,    7.902049e-02
  25,     8.6973,     15.000,    1.089410e-01
  26,     8.6777,     15.000,    7.687505e-02
  27,     8.6577,     15.000,    1.004698e-01
  28,     8.6496,     15.000,    6.470340e-02
  29,     8.6398,     15.000,    1.019918e-01
  30,     8.6217,     15.000,    9.385595e-02
  31,     8.6152,     13.145,    6.884871e-02
  32,     8.6043,      8.765,    4.702848e-02
  33,     8.5951,     10.841,    4.518208e-02
  34,     8.5887,      7.533,    3.783381e-02
  35,     8.5855,      4.879,    1.528524e-02
  36,     8.5785,     11.792,    7.631712e-02
  37,     8.5733,     13.076,    3.955880e-02
  38,     8.5647,      7.515,    7.066421e-02
  39,     8.5570,      3.811,    1.047023e-02
  40,     8.5495,     15.000,    6.710557e-02
  41,     8.5359,     14.560,    5.333295e-02
  42,     8.5281,     12.541,    9.625353e-02
  43,     8.5175,     15.000,    1.098667e-01
  44,     8.5041,     15.000,    6.817343e-02
  45,     8.4903,     15.000,    1.050811e-01
  46,     8.4785,     15.000,    8.301917e-02
  47,     8.4467,      2.366,    9.234511e-01
  48,     8.4454,      1.936,    1.279893e+00
