index,   freq_ppm,   decay_hz, amplitude
   1,     8.9871,     15.000,    1.435918e-01
   2,     8.9728,     15.000,    1.355262e-01
   3,     8.9606,     15.000,    1.271521e-01
   4,     8.9443,     15.000,    1.337018e-01
   5,     8.9305,     15.000,    1.055246e-01
   6,     8.9129,     15.000,    1.156735e-01
   7,     8.8986,     15.000,    1.236649e-01
   8,     8.8798,     11.370,    4.294030e-02
   9,     8.8761,     13.197,    7.367902e-02
  10,     8.8701,      4.708,    3.009386e-02
  11,     8.8673,      5.285,    5.702486e-02
  12,     8.8566,     15.000,    1.275771e-01
  13,     8.8519,     15.000,    1.550618e-01
  14,     8.8217,     15.000,    8.854333e-02
  15,     8.8100,     15.000,    1.063726e-01
  16,     8.7820,     15.000,    1.013873e-01
  17,     8.7648,     15.000,    7.512588e-02
  18,     8.7391,     15.000,    8.886631e-02
  19,     8.7275,     15.000,    7.811598e-02
  20,     8.7032,      3.525,    1.876426e-02
  21,     8.6979,     12.302,    8.283874e-02
  22,     8.6890,     11.172,    8.426316e-02
  23,     8.6769,      9.827,    5.885984e-02
  24,     8.6685,     15.000,    6.765977e-02
  25,     8.6535,     15.000,    1.530199e-01
  26,     8.6310,     15.000,    1.296615e-01
  27,     8.6110,     15.000,    1.028376e-01
  28,     8.6010,     15.000,    1.019117e-01
  29,     8.5830,     15.000,    1.557954e-01
  30,     8.5640,     15.000,    2.852902e-01
  31,     8.5501,     15.000,    1.744501e-01
  32,     8.5272,     15.000,    1.269653e-01
  33,     8.5129,     15.000,    1.210577e-01
  34,     8.4997,     15.000,    1.585571e-01
  35,     8.4853,     15.000,    1.250788e-01
  36,     8.4464,      3.374,    4.152483e+00
  37,     8.4453,      2.647,    4.041069e+00
  38,     8.4440,      5.854,    3.493671e+00
  39,     8.4395,     15.000,    9.370283e-01
  40,     8.4273,     15.000,    5.082530e-01
  41,     8.4052,     15.000,    4.019147e-01
  42,     8.3685,     15.000,    1.101901e+00
  43,     8.3460,     15.000,    9.422611e-02
  44,     8.3377,     14.074,    5.812463e-02
  45,     8.3288,     15.000,    5.953912e-02
  46,     8.3209,      7.665,    1.486625e-01
  47,     8.3054,     11.861,    9.542782e-02
  48,     8.2938,     15.000,    1.316791e-01
  49,     8.2845,     11.663,    5.506526e-02
  50,     8.2753,     15.000,    5.449411e-02
  51,     8.2633,      9.386,    3.987232e-01
  52,     8.2527,     15.000,    1.218957e-01
  53,     8.2417,     15.000,    1.610329e-01
  54,     8.2265,     15.000,    1.088598e-01
  55,     8.2043,     15.000,    1.716226e-01
  56,     8.1822,     15.000,    1.566036e-01
  57,     8.1540,     15.000,    1.209852e-01
  58,     8.1417,      8.828,    5.909061e-02
  59,     8.1351,     15.000,    1.543001e-01
  60,     8.1292,      7.632,    2.642787e-02
  61,     8.1261,      6.682,    4.478278e-02
  62,     8.1187,      6.078,    3.220908e-02
  63,     8.1143,      9.426,    4.325547e-02
  64,     8.1112,      9.680,    4.953760e-02
  65,     8.1037,     12.311,    8.347513e-02
  66,     8.0931,     15.000,    9.858824e-02
  67,     8.0843,     15.000,    1.107734e-01
  68,     8.0693,     15.000,    1.159845e-01
  69,     8.0561,     15.000,    6.561877e-02
  70,     8.0469,     15.000,    1.045470e-01
  71,     8.0332,     15.000,    1.207291e-01
  72,     8.0212,     15.000,    6.710447e-02
  73,     8.0076,     15.000,    1.351289e-01
  74,     7.9942,     15.000,    6.967461e-02
  75,     7.9847,     15.000,    6.939532e-02
  76,     7.9665,     15.000,    1.002571e-01
  77,     7.9502,     15.000,    1.218478e-01
  78,     7.9344,     15.000,    9.045706e-02
  79,     7.9253,     15.000,    8.213349e-02
  80,     7.9113,     15.000,    1.230545e-01
  81,     7.8975,     15.000,    1.176890e-01
  82,     7.8824,     15.000,    1.812094e-01
  83,     7.8653,     15.000,    2.191097e-01
  84,     7.8440,     15.000,    1.621429e-01
  85,     7.8289,     15.000,    1.245454e-01
  86,     7.8156,     15.000,    1.418550e-01
  87,     7.8007,     15.000,    1.294985e-01
  88,     7.7900,     15.000,    1.561347e-01
  89,     7.7644,     15.000,    1.115323e-01
  90,     7.7547,     15.000,    9.953155e-02
  91,     7.7437,     15.000,    9.757895e-02
  92,     7.7371,     10.390,    7.269550e-02
  93,     7.7256,     12.765,    5.562765e-02
  94,     7.7186,      4.516,    3.710115e-02
  95,     7.7139,     15.000,    1.403373e-01
  96,     7.7042,     15.000,    1.038252e-01
  97,     7.6886,     15.000,    1.422776e-01
  98,     7.6680,     15.000,    1.417869e-01
  99,     7.6579,     15.000,    9.959559e-02
 100,     7.6423,     15.000,    1.131976e-01
 101,     7.6241,     15.000,    1.919578e-01
 102,     7.6125,      9.191,    5.774181e-02
 103,     7.5979,     15.000,    1.076958e-01
 104,     7.5845,     15.000,    5.141225e-02
 105,     7.5730,     15.000,    1.049247e-01
 106,     7.5602,     15.000,    1.105662e-01
 107,     7.5451,     15.000,    1.359251e-01
 108,     7.5371,     15.000,    1.062174e-01
 109,     7.5118,     15.000,    7.602040e-02
 110,     7.4983,     15.000,    1.133563e-01
 111,     7.4916,     10.156,    8.413987e-02
 112,     7.4815,     15.000,    7.402828e-02
 113,     7.4717,     15.000,    9.983357e-02
 114,     7.4620,     15.000,    1.308317e-01
 115,     7.4469,     15.000,    6.148290e-02
 116,     7.4359,     15.000,    1.096399e-01
 117,     7.4273,     15.000,    7.228541e-02
 118,     7.4225,      4.600,    1.325466e-02
 119,     7.4160,      8.601,    3.856181e-02
 120,     7.4049,     15.000,    1.116616e-01
 121,     7.3946,     15.000,    1.116838e-01
 122,     7.3781,     15.000,    6.307100e-02
 123,     7.3716,      8.950,    8.037008e-02
 124,     7.3589,     15.000,    9.809528e-02
 125,     7.3512,     15.000,    9.634832e-02
 126,     7.3382,     15.000,    1.416633e-01
 127,     7.3232,     15.000,    1.426890e-01
 128,     7.3090,     15.000,    1.411826e-01
 129,     7.2913,     15.000,    1.723080e-01
 130,     7.2802,     15.000,    1.379650e-01
 131,     7.2690,     15.000,    1.255181e-01
 132,     7.2579,     15.000,    1.350805e-01
 133,     7.2483,      9.428,    3.618660e-02
 134,     7.2400,     10.188,    7.552983e-02
 135,     7.2334,     12.147,    5.944527e-02
 136,     7.2220,      6.312,    2.096552e-02
 137,     7.2158,     10.006,    6.624030e-02
 138,     7.2059,     15.000,    1.437985e-01
 139,     7.1814,     15.000,    1.320713e-01
 140,     7.1672,     15.000,    1.065752e-01
 141,     7.1498,     15.000,    1.127901e-01
 142,     7.1363,     15.000,    1.180906e-01
 143,     7.1153,     15.000,    1.038410e-01
 144,     7.0987,     15.000,    8.171397e-02
 145,     7.0927,     12.562,    4.487264e-02
 146,     7.0788,     13.403,    1.915709e-01
 147,     7.0705,     15.000,    8.513995e-02
 148,     7.0566,     15.000,    9.334358e-02
 149,     7.0457,     15.000,    8.736347e-02
 150,     7.0339,     15.000,    1.081671e-01
 151,     7.0284,      0.010,    7.034489e-03
 152,     7.0242,     14.766,    3.114622e-02
 153,     7.0187,      8.478,    5.557823e-02
 154,     7.0060,     15.000,    1.016560e-01
 155,     6.9980,     15.000,    1.092152e-01
 156,     6.9832,      8.581,    4.326870e-02
 157,     6.9808,      4.180,    1.812830e-02
 158,     6.9730,      7.461,    4.544704e-02
 159,     6.9656,      6.004,    3.674424e-02
 160,     6.9563,     15.000,    7.974117e-02
 161,     6.9512,     15.000,    5.458421e-02
 162,     6.9464,     15.000,    2.067989e-02
 163,     6.9392,     15.000,    1.203885e-01
 164,     6.9303,      7.069,    3.940609e-02
 165,     6.9220,     15.000,    1.420696e-01
 166,     6.9098,     15.000,    1.140793e-01
 167,     6.8970,     15.000,    8.501518e-02
 168,     6.8801,     15.000,    1.379777e-01
 169,     6.8645,     15.000,    1.277213e-01
 170,     6.8439,     15.000,    1.745470e-01
 171,     6.8279,     15.000,    1.155230e-01
 172,     6.8144,     15.000,    1.223472e-01
 173,     6.7947,     15.000,    9.479529e-02
 174,     6.7845,     15.000,    1.208614e-01
 175,     6.7682,     15.000,    8.737198e-02
 176,     6.7544,     15.000,    1.152867e-01
 177,     6.7394,     15.000,    9.904121e-02
 178,     6.7229,      0.046,    5.590969e-03
 179,     6.7171,     12.417,    7.845290e-02
 180,     6.7097,      0.719,    4.694764e-03
 181,     6.7025,     14.126,    9.917285e-02
 182,     6.6955,      7.530,    3.763297e-02
 183,     6.6837,     15.000,    1.261020e-01
 184,     6.6712,     10.869,    6.551956e-02
 185,     6.6633,     11.177,    6.265183e-02
 186,     6.6542,     15.000,    1.237405e-01
 187,     6.6441,     15.000,    1.057674e-01
 188,     6.6330,     15.000,    8.290730e-02
 189,     6.6194,     11.247,    6.199193e-02
 190,     6.6105,      6.751,    3.756589e-02
 191,     6.6063,     15.000,    4.192108e-02
 192,     6.5986,      0.560,    4.837671e-03
 193,     6.5928,      7.659,    4.440118e-02
 194,     6.5866,     15.000,    1.297042e-01
 195,     6.5772,     15.000,    5.230122e-02
 196,     6.5698,     15.000,    1.092045e-01
 197,     6.5609,     10.417,    6.192566e-02
 198,     6.5536,     13.266,    6.456096e-02
 199,     6.5388,     15.000,    1.075669e-01
 200,     6.5287,     14.015,    8.009282e-02
 201,     6.5208,      2.321,    1.397782e-02
 202,     6.5147,     15.000,    1.053459e-01
 203,     6.5039,      4.472,    3.840403e-02
 204,     6.4892,     15.000,    8.986217e-02
 205,     6.4754,     15.000,    1.247286e-01
 206,     6.4665,     15.000,    5.451950e-02
 207,     6.4543,     15.000,    9.580335e-02
 208,     6.4384,     15.000,    8.344646e-02
 209,     6.4282,     15.000,    8.930960e-02
 210,     6.4098,     15.000,    1.296473e-01
 211,     6.3977,     15.000,    1.271169e-01
 212,     6.3780,     15.000,    9.420734e-02
 213,     6.3632,     15.000,    1.945031e-01
 214,     6.3444,     15.000,    1.164689e-01
 215,     6.3312,     15.000,    1.119215e-01
 216,     6.3049,     15.000,    9.106508e-02
 217,     6.2953,     12.547,    1.001674e-01
 218,     6.2864,     12.555,    6.614884e-02
 219,     6.2764,     11.647,    7.937242e-02
 220,     6.2673,      8.076,    6.652150e-02
 221,     6.2594,     15.000,    1.306716e-01
 222,     6.2399,     15.000,    1.031967e-01
 223,     6.2266,     15.000,    1.034904e-01
 224,     6.2199,     15.000,    9.585910e-02
 225,     6.2112,     15.000,    8.166676e-02
 226,     6.2022,     15.000,    7.310493e-02
 227,     6.1944,     15.000,    9.633832e-02
 228,     6.1819,     15.000,    9.393857e-02
 229,     6.1765,      4.818,    3.009584e-02
 230,     6.1663,     11.984,    6.117611e-02
 231,     6.1549,     15.000,    8.827738e-02
 232,     6.1398,     15.000,    1.231045e-01
 233,     6.1213,     15.000,    9.680996e-02
 234,     6.1118,     15.000,    1.121472e-01
 235,     6.1011,     15.000,    6.693476e-02
 236,     6.0914,      9.113,    3.212849e-01
 237,     6.0848,     14.927,    5.086069e-01
