index,   freq_ppm,   decay_hz, amplitude
   1,     9.0881,      8.762,    1.315773e-03
   2,     9.0719,     13.831,    2.396013e-03
   3,     9.0627,      9.842,    9.211695e-04
   4,     9.0498,     14.615,    2.461091e-03
   5,     9.0375,     14.700,    1.239245e-03
   6,     9.0231,     14.700,    3.015250e-03
   7,     9.0159,     14.700,    2.337671e-03
   8,     8.9931,     14.700,    3.166904e-03
   9,     8.9823,     14.700,    1.549887e-03
  10,     8.9703,     14.700,    3.509945e-03
  11,     8.9601,     14.700,    4.383849e-03
  12,     8.9402,     14.700,    4.507792e-03
  13,     8.9266,     14.700,    3.240429e-03
  14,     8.9136,     14.700,    3.132282e-03
  15,     8.8982,     14.700,    3.030523e-03
  16,     8.8885,     14.700,    3.342121e-03
  17,     8.8636,     14.700,    4.853199e-03
  18,     8.8568,      1.163,    3.986260e-04
  19,     8.8518,     11.504,    1.869169e-03
  20,     8.8442,     14.700,    2.169437e-03
  21,     8.8359,     14.700,    2.664440e-03
  22,     8.8221,     12.452,    2.477900e-03
  23,     8.8165,      6.185,    1.397571e-03
  24,     8.8060,     14.700,    2.370191e-03
  25,     8.7962,     14.700,    2.779980e-03
  26,     8.7837,     14.166,    2.205772e-03
  27,     8.7712,     13.818,    2.273698e-03
  28,     8.7631,     12.866,    2.036983e-03
  29,     8.7495,     14.700,    3.544764e-03
  30,     8.7395,     14.700,    1.927886e-03
  31,     8.7282,     14.700,    2.674299e-03
  32,     8.7107,     14.700,    2.814181e-03
  33,     8.6962,     11.180,    9.603917e-04
  34,     8.6874,     12.052,    2.394794e-03
  35,     8.6791,     14.700,    2.916598e-03
  36,     8.6689,     14.700,    3.482867e-03
  37,     8.6592,     14.700,    2.431723e-03
  38,     8.6508,     14.700,    3.290420e-03
  39,     8.6314,     14.700,    2.065889e-03
  40,     8.6201,     14.700,    2.451030e-03
  41,     8.6046,     14.700,    3.224056e-03
  42,     8.5893,      4.258,    6.764429e-04
  43,     8.5806,     14.700,    2.739577e-03
  44,     8.5734,      9.738,    5.845902e-04
  45,     8.5641,     13.855,    8.437747e-03
  46,     8.5570,     13.677,    1.725740e-03
  47,     8.5470,     14.700,    1.764725e-03
  48,     8.5387,     11.660,    2.412208e-03
  49,     8.5310,     14.700,    4.342294e-03
  50,     8.5176,     14.700,    3.312103e-03
  51,     8.5093,     13.492,    2.578048e-03
  52,     8.5003,     14.700,    2.715587e-03
  53,     8.4865,     14.700,    2.691529e-03
  54,     8.4470,      6.410,    9.412431e-02
  55,     8.4456,      6.159,    2.089676e-01
  56,     8.4440,     10.663,    1.503737e-01
  57,     8.4378,     14.700,    3.197965e-02
  58,     8.4285,     14.700,    1.430073e-02
  59,     8.4129,     14.700,    1.178737e-02
  60,     8.3985,     14.700,    1.135204e-02
  61,     8.3825,     14.700,    3.429107e-03
  62,     8.3625,     14.700,    2.245914e-03
  63,     8.3423,     14.700,    3.440313e-03
  64,     8.3292,     14.700,    2.153886e-03
  65,     8.3204,     12.127,    4.738411e-03
  66,     8.3132,      8.024,    1.883794e-03
  67,     8.3043,     14.700,    2.490236e-03
  68,     8.2870,      6.002,    1.039288e-03
  69,     8.2771,     10.483,    2.313347e-03
  70,     8.2719,      2.802,    5.338987e-04
  71,     8.2633,      5.766,    1.286712e-03
  72,     8.2585,      6.891,    1.671794e-03
  73,     8.2516,     14.700,    2.293887e-03
  74,     8.2389,      7.867,    1.340779e-03
  75,     8.2337,      7.455,    1.454013e-03
  76,     8.2222,     14.700,    2.655246e-03
  77,     8.2113,     14.700,    2.225586e-03
  78,     8.2003,     14.700,    2.658911e-03
  79,     8.1891,     14.700,    4.235950e-03
  80,     8.1661,     14.700,    2.559529e-03
  81,     8.1445,     14.700,    3.608386e-03
  82,     8.1299,     13.811,    3.006055e-03
  83,     8.1232,      8.257,    9.049957e-04
  84,     8.1112,     14.700,    2.787795e-03
  85,     8.1035,     14.700,    3.439759e-03
  86,     8.0875,     14.700,    2.673423e-03
  87,     8.0773,     14.700,    4.925740e-03
  88,     8.0598,     14.700,    3.693313e-03
  89,     8.0306,     14.700,    3.030326e-03
  90,     8.0149,     14.700,    2.311169e-03
  91,     7.9918,     14.700,    3.589239e-03
  92,     7.9646,     14.700,    2.662568e-03
  93,     7.9459,     14.700,    2.722451e-03
  94,     7.9357,     14.700,    2.404360e-03
  95,     7.9218,     14.700,    2.339093e-03
  96,     7.9130,     14.700,    2.174606e-03
  97,     7.8917,     14.700,    2.660686e-03
  98,     7.8663,     14.700,    5.023387e-03
  99,     7.8550,     14.700,    5.314902e-03
 100,     7.8403,     14.700,    3.845117e-03
 101,     7.8291,     14.700,    4.205449e-03
 102,     7.8199,     14.700,    3.974483e-03
 103,     7.8051,     14.700,    3.093058e-03
 104,     7.7923,     14.700,    3.114733e-03
 105,     7.7711,     14.700,    2.457415e-03
 106,     7.7336,      8.816,    4.910765e-02
 107,     7.7318,      9.454,    5.467985e-02
 108,     7.7227,     13.444,    1.424379e-01
 109,     7.7102,     14.700,    6.267121e-03
 110,     7.6987,     14.700,    4.564373e-03
 111,     7.6826,     14.700,    4.562095e-03
 112,     7.6727,     14.700,    2.628743e-03
 113,     7.6617,     14.700,    3.344821e-03
 114,     7.6489,     14.700,    4.559974e-03
 115,     7.6341,     14.700,    4.200596e-03
 116,     7.6275,      7.941,    1.361437e-03
 117,     7.6201,     11.100,    3.396474e-03
 118,     7.6152,     12.615,    2.819469e-03
 119,     7.6075,     14.700,    2.139908e-03
 120,     7.6010,      5.312,    8.715519e-04
 121,     7.5916,     14.700,    3.560516e-03
 122,     7.5801,     14.700,    2.554092e-03
 123,     7.5658,     14.700,    2.785537e-03
 124,     7.5533,     11.403,    2.791598e-03
 125,     7.5389,      8.472,    3.268174e-02
 126,     7.5371,      9.449,    3.937921e-02
 127,     7.5278,     12.831,    1.004342e-01
 128,     7.5160,     14.700,    3.330091e-03
 129,     7.5096,      4.809,    1.391001e-03
 130,     7.5008,     14.700,    1.851394e-03
 131,     7.4825,     14.700,    4.512912e-03
 132,     7.4768,     14.700,    1.344057e-03
 133,     7.4715,     13.232,    2.595993e-03
 134,     7.4689,      0.000,    1.523944e-04
 135,     7.4636,     12.109,    2.120576e-03
 136,     7.4519,      6.642,    5.819555e-04
 137,     7.4421,     14.700,    2.512250e-03
 138,     7.4271,     14.700,    1.313774e-02
 139,     7.4179,     13.655,    2.541314e-02
 140,     7.4140,     10.144,    2.497377e-03
 141,     7.4087,     14.086,    1.732688e-02
 142,     7.3758,     13.417,    8.676200e-03
 143,     7.3666,     14.700,    1.231204e-02
 144,     7.3570,      7.980,    2.130383e-03
 145,     7.3247,      9.247,    1.466049e-02
 146,     7.3163,      8.475,    3.895282e-02
