Metabolite,pos_in_ppm,couple_code,J_constant,relative_intensity,overwrite_pos,overwrite_truncation,Include_multiplet
metabolite15,1.9242,-2,"1.9058,1.9425",0.0081,n,n,1
metabolite15,1.8758,-2,"1.8458,1.9058",0.0547,n,n,1
metabolite16,4.052,-2,"4.0168,4.0873",0.0052,n,n,1
metabolite16,3.5116,-2,"3.4758,3.5473",0.0062,n,n,1
metabolite16,3.1936,-2,"3.1636,3.2237",0.0267,n,n,1
metabolite17,3.6002,-2,"3.5673,3.6331",0.012,n,n,1
metabolite17,2.2616,-2,"2.2156,2.3076",0.0157,n,n,1
metabolite17,1.0377,-2,"1.0079,1.0674",0.0658,n,n,1
metabolite17,0.9781,-2,"0.9483,1.0079",0.0652,n,n,1
metabolite18,3.6617,-2,"3.6293,3.6941",0.0092,n,n,1
metabolite18,1.4688,-2,"1.4178,1.5198",0.0136,n,n,1
metabolite18,1.296,-2,"1.2795,1.3124",0.0007,n,n,1
metabolite18,1.2381,-2,"1.1966,1.2795",0.014,n,n,1
metabolite18,1.0017,-2,"0.9674,1.0360",0.0459,n,n,1
metabolite18,0.9285,-2,"0.8911,0.9659",0.0389,n,n,1
metabolite19,4.5024,-2,"4.4724,4.5325",0.0184,n,n,1
metabolite19,4.0087,-2,"3.9715,4.0458",0.0219,n,n,1
metabolite19,3.7882,-2,"3.7718,3.8047",0.0011,n,n,1
metabolite19,3.7337,-2,"3.6955,3.7718",0.0685,n,n,1
metabolite19,3.6884,-2,"3.6812,3.6955",0.0014,n,n,1
metabolite19,3.6638,-2,"3.6464,3.6812",0.0008,n,n,1
metabolite20,3.0438,-2,"3.0044,3.0831",0.0083,n,n,1
metabolite20,1.9594,-2,"1.9273,1.9916",0.0053,n,n,1
metabolite20,1.9013,-2,"1.8753,1.9273",0.0014,n,n,1
metabolite20,1.8589,-2,"1.8424,1.8753",0.0005,n,n,1
metabolite20,1.8224,-2,"1.8024,1.8424",0.0008,n,n,1
metabolite20,1.7829,-2,"1.7681,1.7976",0.0002,n,n,1
metabolite20,1.7512,-2,"1.7342,1.7681",0.0015,n,n,1
metabolite20,1.7166,-2,"1.6990,1.7342",0.0004,n,n,1
metabolite21,3.0156,-2,"2.9763,3.0550",0.0673,n,n,1
metabolite21,1.9347,-2,"1.9001,1.9692",0.0266,n,n,1
metabolite21,1.8782,-2,"1.8563,1.9001",0.019,n,n,1
metabolite21,1.7264,-2,"1.6823,1.7705",0.0627,n,n,1
metabolite21,1.5152,-2,"1.4754,1.5550",0.0311,n,n,1
metabolite21,1.4333,-2,"1.3911,1.4754",0.035,n,n,1
metabolite22,3.5478,-2,"3.5177,3.5778",0.0372,n,n,1
metabolite23,5.4052,-2,"5.3742,5.4361",0.0308,n,n,1
metabolite23,5.2262,-2,"5.1940,5.2584",0.0071,n,n,1
metabolite23,4.6495,-2,"4.6145,4.6845",0.0098,n,n,1
metabolite23,3.9634,-2,"3.9214,4.0053",0.014,n,n,1
metabolite23,3.9133,-2,"3.9052,3.9214",0.0072,n,n,1
metabolite23,3.8914,-2,"3.8776,3.9052",0.0097,n,n,1
metabolite23,3.8623,-2,"3.8471,3.8776",0.0158,n,n,1
metabolite23,3.8342,-2,"3.8214,3.8471",0.0233,n,n,1
metabolite23,3.8056,-2,"3.7899,3.8214",0.0092,n,n,1
metabolite23,3.7618,-2,"3.7337,3.7899",0.0571,n,n,1
metabolite23,3.7151,-2,"3.6965,3.7337",0.0198,n,n,1
metabolite23,3.6908,-2,"3.6850,3.6965",0.0055,n,n,1
metabolite23,3.6722,-2,"3.6593,3.6850",0.0115,n,n,1
metabolite23,3.6364,-2,"3.6135,3.6593",0.0265,n,n,1
metabolite23,3.5699,-2,"3.5263,3.6135",0.053,n,n,1
metabolite23,3.4162,-2,"3.3743,3.4582",0.025,n,n,1
metabolite23,3.2704,-2,"3.2294,3.3114",0.0128,n,n,1
metabolite24,4.1347,-2,"4.1026,4.1669",0.0385,n,n,1
metabolite24,4.0101,-2,"3.9643,4.0559",0.0255,n,n,1
metabolite24,3.5425,-2,"3.5063,3.5788",0.0323,n,n,1
metabolite24,2.0662,-2,"2.0383,2.0941",0.057,n,n,1
metabolite24,2.0197,-2,"2.0011,2.0383",0.0262,n,n,1
metabolite24,1.9883,-2,"1.9754,2.0011",0.0059,n,n,1
metabolite24,1.9654,-2,"1.9554,1.9754",0.0279,n,n,1
metabolite24,1.9358,-2,"1.9163,1.9554",0.018,n,n,1
metabolite24,1.8915,-2,"1.8734,1.9096",0.0116,n,n,1
metabolite24,1.8648,-2,"1.8563,1.8734",0.0185,n,n,1
metabolite24,1.8379,-2,"1.8196,1.8563",0.0108,n,n,1
metabolite25,4.0556,-2,"4.0354,4.0759",0.006,n,n,1
metabolite25,4.0156,-2,"3.9958,4.0354",0.0026,n,n,1
metabolite25,3.0345,-2,"3.0044,3.0645",0.026,n,n,1
metabolite26,3.7256,-2,"3.6874,3.7637",0.0037,n,n,1
metabolite26,1.7025,-2,"1.6299,1.7752",0.0111,n,n,1
metabolite26,0.9521,-2,"0.9130,0.9912",0.0334,n,n,1
metabolite27,3.9894,-2,"3.9586,4.0201",0.0492,n,n,1
metabolite27,3.9269,-2,"3.8952,3.9586",0.0454,n,n,1
metabolite27,3.8318,-2,"3.7961,3.8676",0.0274,n,n,1
metabolite28,7.4246,-2,"7.3912,7.4580",0.0302,n,n,1
metabolite28,7.3693,-2,"7.3474,7.3912",0.0141,n,n,1
metabolite28,7.3169,-2,"7.2864,7.3474",0.0393,n,n,1
metabolite28,3.9853,-2,"3.9472,4.0234",0.0171,n,n,1
metabolite28,3.2759,-2,"3.2337,3.3180",0.0317,n,n,1
metabolite28,3.1226,-2,"3.0788,3.1665",0.0274,n,n,1
metabolite29,7.8493,-2,"7.8192,7.8793",0.0174,n,n,1
metabolite29,7.0767,-2,"7.0466,7.1067",0.0199,n,n,1
metabolite29,3.977,-2,"3.9424,4.0115",0.025,n,n,1
metabolite29,3.2394,-2,"3.1970,3.2818",0.0734,n,n,1
metabolite29,3.1426,-2,"3.0978,3.1875",0.0544,n,n,1
metabolite30,3.7584,-2,"3.7246,3.7923",0.0163,n,n,1
metabolite30,2.4392,-2,"2.3777,2.5006",0.0647,n,n,1
metabolite30,2.1294,-2,"2.0636,2.1951",0.0715,n,n,1
metabolite31,7.8652,-2,"7.8302,7.9003",0.04,n,n,1
metabolite31,5.8987,-2,"5.8565,5.9409",0.0536,n,n,1
metabolite31,4.3466,-2,"4.3113,4.3819",0.0378,n,n,1
metabolite31,4.2217,-2,"4.1855,4.2579",0.0383,n,n,1
metabolite31,4.1245,-2,"4.0921,4.1569",0.0391,n,n,1
metabolite31,3.9188,-2,"3.8995,3.9381",0.0217,n,n,1
metabolite31,3.8797,-2,"3.8600,3.8995",0.0327,n,n,1
metabolite31,3.7975,-2,"3.7570,3.8380",0.0517,n,n,1
metabolite32,3.7732,-2,"3.7370,3.8094",0.0348,n,n,1
metabolite33,4.2884,-2,"4.2513,4.3256",0.0084,n,n,1
metabolite33,2.6796,-2,"2.6584,2.7008",0.0182,n,n,1
metabolite33,2.6384,-2,"2.6184,2.6584",0.0108,n,n,1
metabolite33,2.3698,-2,"2.3419,2.3977",0.0158,n,n,1
metabolite33,2.3241,-2,"2.3062,2.3419",0.0048,n,n,1
metabolite34,3.7475,-2,"3.7103,3.7847",0.0308,n,n,1
metabolite34,1.5107,-2,"1.4807,1.5407",0.0048,n,n,1
metabolite35,5.1731,-2,"5.1430,5.2031",0.0135,n,n,1
metabolite35,3.9398,-2,"3.9110,3.9686",0.0303,n,n,1
metabolite35,3.9036,-2,"3.8962,3.9110",0.0053,n,n,1
metabolite35,3.8874,-2,"3.8786,3.8962",0.0086,n,n,1
metabolite35,3.8673,-2,"3.8561,3.8786",0.0103,n,n,1
metabolite35,3.8397,-2,"3.8233,3.8561",0.0127,n,n,1
metabolite35,3.8006,-2,"3.7780,3.8233",0.0083,n,n,1
metabolite35,3.737,-2,"3.6993,3.7746",0.0137,n,n,1
metabolite35,3.6517,-2,"3.6102,3.6931",0.0311,n,n,1
metabolite35,3.3752,-2,"3.3452,3.4053",0.0069,n,n,1
metabolite36,5.2248,-2,"5.1926,5.2569",0.0068,n,n,1
metabolite36,4.6376,-2,"4.6025,4.6726",0.0112,n,n,1
metabolite36,3.8852,-2,"3.8604,3.9100",0.005,n,n,1
metabolite36,3.833,-2,"3.8056,3.8604",0.0069,n,n,1
metabolite36,3.7625,-2,"3.7346,3.7904",0.0136,n,n,1
metabolite36,3.7043,-2,"3.6741,3.7346",0.0239,n,n,1
metabolite36,3.5361,-2,"3.5068,3.5654",0.0078,n,n,1
metabolite36,3.4849,-2,"3.4629,3.5068",0.019,n,n,1
metabolite36,3.446,-2,"3.4291,3.4629",0.0143,n,n,1
metabolite36,3.4208,-2,"3.4124,3.4291",0.0024,n,n,1
metabolite36,3.3824,-2,"3.3524,3.4124",0.0222,n,n,1
metabolite36,3.2375,-2,"3.1970,3.2780",0.0129,n,n,1
metabolite37,3.8886,-2,"3.8509,3.9262",0.0093,n,n,1
metabolite37,2.8255,-2,"2.8042,2.8467",0.0079,n,n,1
metabolite37,2.7826,-2,"2.7609,2.8042",0.0124,n,n,1
metabolite37,2.6684,-2,"2.6217,2.7151",0.0186,n,n,1
