index,   freq_ppm,   decay_hz, amplitude
   1,     9.0061,     14.700,    4.621650e-03
   2,     8.9990,     14.700,    4.226406e-03
   3,     8.9826,     14.700,    6.545765e-03
   4,     8.9696,     14.700,    6.831860e-03
   5,     8.9594,     14.700,    5.962510e-03
   6,     8.9495,      8.365,    2.496845e-03
   7,     8.9378,     14.700,    3.820641e-03
   8,     8.9236,     14.700,    2.718026e-03
   9,     8.9168,      5.533,    1.877284e-03
  10,     8.9118,      3.734,    1.056397e-03
  11,     8.9031,     14.137,    3.579163e-03
  12,     8.8929,     14.700,    3.354532e-03
  13,     8.8795,     14.700,    5.274598e-03
  14,     8.8624,     14.700,    3.481397e-03
  15,     8.8514,     14.700,    2.935794e-03
  16,     8.8428,     14.700,    3.447124e-03
  17,     8.8348,      2.789,    1.060472e-03
  18,     8.8298,     14.700,    2.752731e-03
  19,     8.8174,     14.700,    4.156056e-03
  20,     8.8102,      4.915,    1.390586e-03
  21,     8.8019,     14.700,    4.520188e-03
  22,     8.7932,     14.700,    3.509728e-03
  23,     8.7824,     14.700,    4.439415e-03
  24,     8.7625,     14.700,    4.370089e-03
  25,     8.7457,     14.700,    4.793620e-03
  26,     8.7273,     14.700,    5.111536e-03
  27,     8.7089,     14.700,    4.271187e-03
  28,     8.7033,     14.700,    3.485315e-03
  29,     8.6913,     14.700,    4.479238e-03
  30,     8.6818,     14.700,    3.134631e-03
  31,     8.6697,     14.700,    3.055154e-03
  32,     8.6604,     14.700,    3.697528e-03
  33,     8.6506,     14.700,    4.227050e-03
  34,     8.6389,     14.700,    3.199706e-03
  35,     8.6262,     14.700,    4.324941e-03
  36,     8.6148,     14.700,    4.391446e-03
  37,     8.6066,      9.695,    1.977484e-03
  38,     8.5930,     14.700,    4.888393e-03
  39,     8.5853,      9.186,    2.637253e-03
  40,     8.5766,      4.503,    1.950108e-03
  41,     8.5722,      2.259,    7.388823e-04
  42,     8.5643,     14.700,    5.324694e-03
  43,     8.5506,     14.700,    4.705778e-03
  44,     8.5410,     13.479,    4.406301e-03
  45,     8.5214,     14.700,    5.331440e-03
  46,     8.5134,     14.700,    4.649640e-03
  47,     8.4883,     14.700,    2.834939e-03
  48,     8.4777,     14.700,    3.108275e-03
  49,     8.4686,     14.700,    3.814559e-03
  50,     8.4479,      6.615,    4.485894e-02
  51,     8.4465,      4.643,    7.492383e-02
  52,     8.4452,      6.281,    7.054921e-02
  53,     8.4431,     13.421,    4.313415e-02
  54,     8.4366,     14.700,    1.627829e-02
  55,     8.4250,     14.700,    6.506064e-03
  56,     8.4064,     14.700,    6.328455e-03
  57,     8.3908,     14.700,    4.771127e-03
  58,     8.3786,     14.700,    4.575966e-03
  59,     8.3671,     14.700,    5.622913e-03
  60,     8.3412,     14.700,    5.453829e-03
  61,     8.3302,     14.700,    4.492947e-03
  62,     8.3202,     14.700,    5.837563e-03
  63,     8.3006,      8.467,    2.257349e-03
  64,     8.2949,      5.941,    1.270180e-03
  65,     8.2898,     14.700,    3.561456e-03
  66,     8.2837,      6.728,    2.350578e-03
  67,     8.2762,      8.942,    2.466734e-03
  68,     8.2684,     14.700,    5.339263e-03
  69,     8.2558,     14.700,    3.599532e-03
  70,     8.2378,     14.700,    3.347767e-03
