index,   freq_ppm,   decay_hz, amplitude
   1,     9.0681,     14.700,    2.584227e-03
   2,     9.0593,     14.700,    3.706368e-03
   3,     9.0472,      7.232,    1.540092e-03
   4,     9.0394,     14.700,    2.710378e-03
   5,     9.0231,     14.700,    2.747739e-03
   6,     9.0148,     14.700,    2.603561e-03
   7,     8.9988,     14.700,    1.998463e-03
   8,     8.9868,     14.700,    3.424132e-03
   9,     8.9718,     14.700,    2.525619e-03
  10,     8.9650,     14.700,    2.320856e-03
  11,     8.9536,      5.909,    1.269664e-03
  12,     8.9463,     14.700,    3.191609e-03
  13,     8.9298,     14.700,    2.670259e-03
  14,     8.9213,     14.700,    3.187005e-03
  15,     8.9096,     14.700,    2.043997e-03
  16,     8.8996,     14.700,    1.813953e-03
  17,     8.8878,     14.700,    3.050487e-03
  18,     8.8745,     14.700,    3.665976e-03
  19,     8.8657,      6.473,    9.810778e-04
  20,     8.8610,      4.763,    7.797938e-04
  21,     8.8525,     12.742,    2.997763e-03
  22,     8.8440,      4.040,    1.041506e-03
  23,     8.8377,     14.700,    3.673246e-03
  24,     8.8251,     14.700,    5.304545e-03
  25,     8.8087,     14.700,    3.785777e-03
  26,     8.7998,     14.700,    3.511369e-03
  27,     8.7854,     14.700,    4.682440e-03
  28,     8.7648,     14.700,    5.537396e-03
  29,     8.7524,     14.700,    3.199901e-03
  30,     8.7378,     14.700,    3.005222e-03
  31,     8.7284,     14.700,    4.712738e-03
  32,     8.7184,     14.700,    3.602603e-03
  33,     8.7018,     14.700,    4.299057e-03
  34,     8.6919,     14.700,    2.698030e-03
  35,     8.6809,     14.700,    3.679077e-03
  36,     8.6674,     14.700,    3.996835e-03
  37,     8.6412,     14.700,    4.052955e-03
  38,     8.6248,     14.700,    3.790965e-03
  39,     8.6128,     14.700,    3.429386e-03
  40,     8.5960,     14.700,    3.674835e-03
  41,     8.5788,     14.700,    3.700962e-03
  42,     8.5642,     14.700,    1.246159e-02
  43,     8.5541,     14.700,    5.833815e-03
  44,     8.5433,     14.700,    4.758379e-03
  45,     8.5314,     14.700,    5.412528e-03
  46,     8.5184,     14.700,    5.432960e-03
  47,     8.5060,      9.214,    2.834267e-03
  48,     8.4989,      3.613,    5.333179e-04
  49,     8.4906,     14.700,    3.333475e-03
  50,     8.4797,     10.678,    1.747465e-03
  51,     8.4475,      5.937,    1.000500e-01
  52,     8.4458,      5.860,    3.257067e-01
  53,     8.4443,      9.436,    2.924104e-01
  54,     8.4388,     14.700,    5.964816e-02
  55,     8.4299,     14.700,    3.142529e-02
  56,     8.4173,     14.700,    2.380785e-02
  57,     8.4021,     14.700,    2.094779e-02
  58,     8.3938,     14.700,    5.867212e-03
  59,     8.3828,     14.700,    3.962778e-03
  60,     8.3752,     14.700,    2.922474e-03
  61,     8.3640,     14.700,    3.246069e-03
  62,     8.3554,     14.700,    4.019696e-03
  63,     8.3425,      9.188,    3.148817e-03
  64,     8.3366,      3.605,    7.744741e-04
  65,     8.3206,     14.700,    1.081203e-02
  66,     8.3109,      4.994,    1.074412e-03
  67,     8.3059,     12.589,    2.316167e-03
  68,     8.2928,     14.700,    3.184426e-03
  69,     8.2836,     14.700,    3.143119e-03
  70,     8.2762,     14.700,    3.032017e-03
  71,     8.2657,     14.700,    2.993604e-03
  72,     8.2510,     14.700,    2.758581e-03
  73,     8.2440,     14.700,    4.044851e-03
  74,     8.2333,      6.052,    1.250123e-03
  75,     8.2252,     14.700,    3.025752e-03
  76,     8.2168,     14.572,    3.179328e-03
  77,     8.2105,     11.499,    2.454329e-03
  78,     8.2037,     14.700,    3.307070e-03
  79,     8.1953,      6.740,    1.481706e-03
  80,     8.1854,     14.700,    2.139702e-03
  81,     8.1679,     14.700,    2.859044e-03
  82,     8.1498,     14.700,    2.559138e-03
  83,     8.1424,     14.700,    2.180062e-03
  84,     8.1328,     14.700,    3.113080e-03
  85,     8.1248,     14.700,    2.321373e-03
  86,     8.1123,      4.673,    7.777745e-04
  87,     8.1044,     14.065,    1.967650e-03
  88,     8.0993,     14.515,    1.974627e-03
  89,     8.0879,     14.700,    2.606223e-03
  90,     8.0772,     14.700,    3.406208e-03
  91,     8.0584,     14.700,    3.603055e-03
  92,     8.0471,     14.700,    3.570815e-03
  93,     8.0377,     14.700,    3.206414e-03
  94,     8.0233,     14.700,    4.095849e-03
  95,     8.0115,     14.700,    2.596364e-03
  96,     7.9847,     14.700,    2.856203e-03
  97,     7.9691,     14.700,    3.710168e-03
  98,     7.9572,     14.700,    2.688679e-03
  99,     7.9439,     14.700,    3.272509e-03
