index,   freq_ppm,   decay_hz, amplitude
   1,     9.0902,     14.263,    3.984174e-03
   2,     9.0777,     14.493,    4.053706e-03
   3,     9.0559,     14.452,    3.823271e-03
   4,     9.0392,     14.492,    4.196123e-03
   5,     9.0299,     14.248,    4.001938e-03
   6,     9.0115,     14.506,    4.942374e-03
   7,     8.9961,     14.553,    4.977938e-03
   8,     8.9776,     14.700,    2.137790e-03
   9,     8.9631,     14.700,    3.665855e-03
  10,     8.9439,     14.700,    2.755874e-03
  11,     8.9269,     14.700,    2.122521e-03
  12,     8.9111,     14.700,    3.436459e-03
  13,     8.8911,     14.700,    3.323796e-03
  14,     8.8777,     14.700,    3.692060e-03
  15,     8.8585,     14.700,    5.827668e-03
  16,     8.8460,     14.700,    5.876020e-03
  17,     8.8311,     14.700,    4.719339e-03
  18,     8.8169,     14.700,    4.530006e-03
  19,     8.7993,     14.700,    4.037464e-03
  20,     8.7887,     14.700,    4.129370e-03
  21,     8.7795,     14.700,    2.778712e-03
  22,     8.7706,     14.700,    2.398959e-03
  23,     8.7633,     14.700,    2.969688e-03
  24,     8.7474,     14.700,    3.977294e-03
  25,     8.7352,     14.700,    3.835413e-03
  26,     8.7253,      8.444,    2.259363e-03
  27,     8.7080,     14.700,    2.791584e-03
  28,     8.6927,     14.700,    2.932930e-03
  29,     8.6830,     14.700,    3.114636e-03
  30,     8.6735,     14.700,    2.448493e-03
  31,     8.6597,     14.700,    5.920400e-03
  32,     8.6466,     14.700,    3.147699e-03
  33,     8.6386,     14.700,    1.798089e-03
  34,     8.6247,     10.328,    1.635195e-03
  35,     8.6126,     14.700,    3.210214e-03
  36,     8.5975,     14.700,    3.447174e-03
  37,     8.5843,      8.759,    1.960399e-03
  38,     8.5748,     12.193,    2.506821e-03
  39,     8.5640,      8.366,    4.271959e-03
  40,     8.5565,     14.700,    2.265979e-03
  41,     8.5495,      6.143,    1.048608e-03
  42,     8.5435,     14.700,    4.287724e-03
  43,     8.5322,     14.700,    6.206452e-03
  44,     8.5144,     14.700,    4.164037e-03
  45,     8.5068,     14.700,    3.489905e-03
  46,     8.4932,     14.700,    3.255744e-03
  47,     8.4463,      7.477,    1.955283e-01
  48,     8.4448,      6.076,    1.018968e-01
  49,     8.4425,      8.726,    3.270466e-02
  50,     8.4385,     10.894,    1.825916e-02
  51,     8.4349,      5.715,    5.536160e-03
  52,     8.4318,      6.414,    5.489890e-03
  53,     8.4269,     14.700,    9.859283e-03
  54,     8.4176,     14.700,    5.754462e-03
  55,     8.4092,     14.700,    3.922484e-03
  56,     8.3995,     14.700,    4.562374e-03
  57,     8.3829,     12.352,    3.455379e-03
  58,     8.3780,      5.648,    1.067634e-03
  59,     8.3678,     14.700,    1.705406e-03
  60,     8.3555,     12.508,    2.432540e-03
  61,     8.3472,     14.700,    3.536601e-03
  62,     8.3394,     14.700,    3.431294e-03
  63,     8.3310,      2.964,    8.611237e-04
  64,     8.3210,     14.700,    6.205341e-03
  65,     8.3101,     14.700,    4.019784e-03
  66,     8.3002,      6.654,    1.440536e-03
  67,     8.2931,      2.275,    1.030280e-03
  68,     8.2856,     12.285,    2.653961e-03
  69,     8.2767,     14.700,    3.140739e-03
  70,     8.2630,     14.700,    3.135910e-03
  71,     8.2512,     14.700,    5.232167e-03
  72,     8.2360,     14.700,    3.698236e-03
  73,     8.2248,     14.700,    3.221250e-03
  74,     8.2142,     14.700,    3.518555e-03
  75,     8.2042,     14.700,    4.224414e-03
  76,     8.1859,     14.700,    4.210815e-03
  77,     8.1761,     10.952,    2.559211e-03
  78,     8.1670,     14.700,    3.685848e-03
  79,     8.1536,     14.700,    3.953438e-03
  80,     8.1434,     14.700,    4.646447e-03
  81,     8.1355,      7.688,    1.327699e-03
  82,     8.1303,      8.923,    1.640211e-03
  83,     8.1222,      9.149,    1.738247e-03
  84,     8.1168,      9.863,    1.742720e-03
  85,     8.1114,     12.548,    2.954091e-03
  86,     8.1043,     11.979,    2.842397e-03
  87,     8.0816,     14.700,    3.760276e-03
  88,     8.0721,     14.700,    3.488178e-03
  89,     8.0537,     14.700,    4.797905e-03
  90,     8.0411,     14.700,    4.170638e-03
  91,     8.0297,     14.700,    3.386609e-03
  92,     8.0166,     14.700,    2.626336e-03
  93,     8.0088,      9.348,    2.192129e-03
  94,     7.9942,     14.700,    2.857334e-03
  95,     7.9854,     14.700,    2.922903e-03
  96,     7.9772,     14.700,    3.703317e-03
  97,     7.9677,      8.210,    2.142334e-03
  98,     7.9606,     14.700,    4.365828e-03
  99,     7.9436,     14.700,    5.821633e-03
 100,     7.9311,     14.700,    4.235966e-03
 101,     7.9151,     14.700,    4.272352e-03
 102,     7.9008,     14.700,    2.859850e-03
 103,     7.8893,     14.700,    4.284638e-03
 104,     7.8820,      9.299,    1.799215e-03
 105,     7.8753,     14.034,    2.070269e-03
 106,     7.8659,     14.700,    9.951087e-03
 107,     7.8563,     14.700,    1.147981e-02
 108,     7.8456,     14.700,    4.097452e-03
 109,     7.8348,      6.254,    1.445613e-03
 110,     7.8255,      7.879,    1.788158e-03
 111,     7.8180,      6.383,    1.317487e-03
 112,     7.8107,     14.700,    3.075331e-03
 113,     7.8049,     14.700,    3.134015e-03
 114,     7.7880,     14.700,    3.886256e-03
 115,     7.7782,     14.700,    4.361663e-03
 116,     7.7679,     14.700,    2.711905e-03
 117,     7.7602,     13.231,    3.557655e-03
 118,     7.7529,     11.465,    3.725148e-03
 119,     7.7407,     14.700,    4.689231e-03
 120,     7.7226,     14.700,    3.807697e-03
 121,     7.7161,     14.700,    3.012435e-03
 122,     7.7067,     14.700,    3.923650e-03
 123,     7.6895,     14.700,    3.640570e-03
 124,     7.6790,     14.700,    4.087752e-03
 125,     7.6668,     14.700,    5.366409e-03
 126,     7.6577,     14.700,    2.298340e-03
 127,     7.6454,     14.700,    2.936548e-03
 128,     7.6297,     14.700,    3.303742e-03
 129,     7.6178,     11.246,    2.698880e-03
 130,     7.6105,     13.582,    3.125438e-03
 131,     7.6005,     12.765,    2.148680e-03
 132,     7.5908,     14.700,    2.173251e-03
 133,     7.5770,     11.402,    2.881831e-03
 134,     7.5715,     14.700,    2.450936e-03
 135,     7.5646,      7.827,    1.200690e-03
 136,     7.5570,     11.203,    2.819625e-03
 137,     7.5512,      7.997,    1.758794e-03
 138,     7.5432,     13.829,    6.189165e-03
 139,     7.5345,     14.700,    6.329380e-03
