multiplets,pos_in_ppm,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10
metabolite18,1.296,n,n,n,n,n,n,n,n,n,n
metabolite18,1.2381,n,n,n,n,n,n,n,n,n,n
metabolite18,1.0017,n,n,n,n,n,n,n,n,n,n
metabolite18,0.9285,n,n,n,n,n,n,n,n,n,n
metabolite19,4.5024,4.5049,4.50866,4.50534,4.50487,4.5063,4.50914,4.52337,4.50676,4.5134,4.5082
metabolite19,4.0087,n,n,n,n,n,n,n,n,n,n
metabolite19,3.7882,n,n,n,n,n,n,n,n,n,n
metabolite19,3.7337,n,n,n,n,n,n,n,n,n,n
metabolite19,3.6884,n,n,n,n,n,n,n,n,n,n
metabolite19,3.6638,n,n,n,n,n,n,n,n,n,n
metabolite20,3.0438,n,n,n,n,n,n,n,n,n,n
metabolite20,1.9594,n,n,n,n,n,n,n,n,n,n
metabolite20,1.9013,n,n,n,n,n,n,n,n,n,n
metabolite20,1.8589,n,n,n,n,n,n,n,n,n,n
metabolite20,1.8224,n,n,n,n,n,n,n,n,n,n
metabolite20,1.7829,n,n,n,n,n,n,n,n,n,n
metabolite20,1.7512,n,n,n,n,n,n,n,n,n,n
metabolite20,1.7166,n,n,n,n,n,n,n,n,n,n
metabolite21,3.0156,n,n,n,n,n,n,n,n,n,n
metabolite21,1.9347,n,n,n,n,n,n,n,n,n,n
metabolite21,1.8782,n,n,n,n,n,n,n,n,n,n
metabolite21,1.7264,n,n,n,n,n,n,n,n,n,n
metabolite21,1.5152,n,n,n,n,n,n,n,n,n,n
metabolite21,1.4333,n,n,n,n,n,n,n,n,n,n
metabolite22,3.5478,n,n,n,n,n,n,n,n,n,n
metabolite23,5.4052,n,n,n,n,n,n,n,n,n,n
metabolite23,5.2262,n,n,n,n,n,n,n,n,n,n
metabolite23,4.6495,n,n,n,n,n,n,n,n,n,n
metabolite23,3.9634,n,n,n,n,n,n,n,n,n,n
metabolite23,3.9133,n,n,n,n,n,n,n,n,n,n
metabolite23,3.8914,n,n,n,n,n,n,n,n,n,n
metabolite23,3.8623,n,n,n,n,n,n,n,n,n,n
metabolite23,3.8342,n,n,n,n,n,n,n,n,n,n
metabolite23,3.8056,n,n,n,n,n,n,n,n,n,n
metabolite23,3.7618,n,n,n,n,n,n,n,n,n,n
metabolite23,3.7151,n,n,n,n,n,n,n,n,n,n
metabolite23,3.6908,n,n,n,n,n,n,n,n,n,n
metabolite23,3.6722,n,n,n,n,n,n,n,n,n,n
