ppm	x1	x2	x3	x4	x5	x6	x7	x8	x9	x10
12.590719	0	0	0	0	0	0	0	0	0	0
12.590244	0	0	0	0	0	0	0	0	0	0
12.589769	0	0	0	0	0	0	0	0	0	0
12.589295	0	0	0	0	0	0	0	0	0	0
12.58882	0	0	0	0	0	0	0	0	0	0
12.588346	0	0	0	0	0	0	0	0	0	0
12.587871	0	0	0	0	0	0	0	0	0	0
12.587397	0	0	0	0	0	0	0	0	0	0
12.586922	0	0	0	0	0	0	0	0	0	0
12.586447	0	0	0	0	0	0	0	0	0	0
12.585973	0	0	0	0	0	0	0	0	0	0
12.585498	0	0	0	0	0	0	0	0	0	0
12.585024	0	0	0	0	0	0	0	0	0	0
12.584549	0	0	0	0	0	0	0	0	0	0
12.584074	0	0	0	0	0	0	0	0	0	0
12.5836	0	0	0	0	0	0	0	0	0	0
12.583125	0	0	0	0	0	0	0	0	0	0
12.582651	0	0	0	0	0	0	0	0	0	0
12.582176	0	0	0	0	0	0	0	0	0	0
12.581702	0	0	0	0	0	0	0	0	0	0
12.581227	0	0	0	0	0	0	0	0	0	0
12.580752	0	0	0	0	0	0	0	0	0	0
12.580278	0	0	0	0	0	0	0	0	0	0
12.579803	0	0	0	0	0	0	0	0	0	0
12.579329	0	0	0	0	0	0	0	0	0	0
12.578854	0	0	0	0	0	0	0	0	0	0
12.57838	0	0	0	0	0	0	0	0	0	0
12.577905	0	0	0	0	0	0	0	0	0	0
12.57743	0	0	0	0	0	0	0	0	0	0
12.576956	0	0	0	0	0	0	0	0	0	0
12.576481	0	0	0	0	0	0	0	0	0	0
12.576007	0	0	0	0	0	0	0	0	0	0
12.575532	0	0	0	0	0	0	0	0	0	0
12.575057	0	0	0	0	0	0	0	0	0	0
12.574583	0	0	0	0	0	0	0	0	0	0
12.574108	0	0	0	0	0	0	0	0	0	0
12.573634	0	0	0	0	0	0	0	0	0	0
12.573159	0	0	0	0	0	0	0	0	0	0
12.572685	0	0	0	0	0	0	0	0	0	0
12.57221	0	0	0	0	0	0	0	0	0	0
12.571735	0	0	0	0	0	0	0	0	0	0
12.571261	0	0	0	0	0	0	0	0	0	0
12.570786	0	0	0	0	0	0	0	0	0	0
12.570312	0	0	0	0	0	0	0	0	0	0
12.569837	0	0	0	0	0	0	0	0	0	0
12.569363	0	0	0	0	0	0	0	0	0	0
12.568888	0	0	0	0	0	0	0	0	0	0
12.568413	0	0	0	0	0	0	0	0	0	0
12.567939	0	0	0	0	0	0	0	0	0	0
12.567464	0	0	0	0	0	0	0	0	0	0
12.56699	0	0	0	0	0	0	0	0	0	0
12.566515	0	0	0	0	0	0	0	0	0	0
12.566041	0	0	0	0	0	0	0	0	0	0
12.565566	0	0	0	0	0	0	0	0	0	0
12.565091	0	0	0	0	0	0	0	0	0	0
12.564617	0	0	0	0	0	0	0	0	0	0
12.564142	0	0	0	0	0	0	0	0	0	0
12.563668	0	0	0	0	0	0	0	0	0	0
12.563193	0	0	0	0	0	0	0	0	0	0
12.562718	0	0	0	0	0	0	0	0	0	0
12.562244	0	0	0	0	0	0	0	0	0	0
12.561769	0	0	0	0	0	0	0	0	0	0
12.561295	0	0	0	0	0	0	0	0	0	0
12.56082	0	0	0	0	0	0	0	0	0	0
12.560346	0	0	0	0	0	0	0	0	0	0
12.559871	0	0	0	0	0	0	0	0	0	0
12.559396	0	0	0	0	0	0	0	0	0	0
12.558922	0	0	0	0	0	0	0	0	0	0
12.558447	0	0	0	0	0	0	0	0	0	0
12.557973	0	0	0	0	0	0	0	0	0	0
12.557498	0	0	0	0	0	0	0	0	0	0
