ppm	x1
12.596112	0
12.595635	0
12.595158	0
12.594681	0
12.594204	0
12.593727	0
12.59325	0
12.592773	0
12.592296	0
12.591819	0
12.591342	0
12.590865	0
12.590388	0
12.589911	0
12.589434	0
12.588957	0
12.58848	0
12.588003	0
12.587526	0
12.587049	0
12.586572	0
12.586095	0
12.585618	0
12.585141	0
12.584664	0
12.584187	0
12.58371	0
12.583233	0
12.582755	0
12.582278	0
12.581801	0
12.581324	0
12.580847	0
12.58037	0
12.579893	0
12.579416	0
12.578939	0
12.578462	0
12.577985	0
12.577508	0
12.577031	0
12.576554	0
12.576077	0
12.5756	0
12.575123	0
12.574646	0
12.574169	0
12.573692	0
12.573215	0
12.572738	0
12.572261	0
12.571784	0
12.571307	0
12.57083	0
12.570353	0
12.569876	0
12.569399	0
12.568922	0
12.568445	0
12.567968	0
12.567491	0
12.567014	0
12.566537	0
12.56606	0
12.565583	0
12.565106	0
12.564629	0
12.564152	0
12.563675	0
12.563198	0
12.562721	0
12.562244	0
12.561767	0
12.56129	0
12.560813	0
12.560336	0
12.559859	0
12.559382	0
12.558905	0
12.558428	0
12.557951	0
12.557474	0
12.556997	0
12.55652	0
12.556043	0
12.555566	0
12.555089	0
12.554612	0
12.554135	0
12.553658	0
12.553181	0
12.552704	0
12.552227	0
12.55175	0
12.551273	0
12.550796	0
12.550319	0
12.549842	0
12.549365	0
12.548888	0
12.548411	0
12.547934	0
12.547457	0
12.54698	0
12.546503	0
12.546026	0
12.545549	0
12.545072	0
12.544595	0
12.544118	0
12.543641	0
12.543164	0
12.542687	0
12.54221	0
12.541733	0
12.541256	0
12.540779	0
12.540302	0
12.539825	0
12.539348	0
12.538871	0
12.538394	0
12.537917	0
12.53744	0
12.536963	0
12.536486	0
12.536009	0
12.535532	0
12.535055	0
12.534578	0
12.534101	0
12.533624	0
12.533147	0
12.53267	0
12.532193	0
12.531716	0
12.531239	0
12.530762	0
12.530285	0
12.529808	0
12.529331	0
12.528854	0
12.528377	0
12.5279	0
12.527423	0
12.526946	0
12.526469	0
12.525992	0
12.525515	0
12.525038	0
12.524561	0
12.524084	0
12.523607	0
12.52313	0
12.522653	0
12.522176	0
12.521699	0
12.521221	0
12.520744	0
12.520267	0
12.51979	0
12.519313	0
12.518836	0
12.518359	0
12.517882	0
12.517405	0
12.516928	0
12.516451	0
12.515974	0
12.515497	0
12.51502	0
12.514543	0
12.514066	0
12.513589	0
12.513112	0
12.512635	0
12.512158	0
12.511681	0
12.511204	0
12.510727	0
12.51025	0
12.509773	0
12.509296	0
12.508819	0
12.508342	0
12.507865	0
12.507388	0
12.506911	0
12.506434	0
12.505957	0
12.50548	0
12.505003	0
12.504526	0
12.504049	0
12.503572	0
12.503095	0
12.502618	0
12.502141	0
12.501664	0
12.501187	0
12.50071	0
12.500233	0
12.499756	0
12.499279	0
12.498802	0
12.498325	0
